SUAS_IDENT	SECTOR	NOTE_TYPE	NOTE_NBR	REMARKS	CYCLE_DATE
EGD008		CONTROLLING AGENCY	1	Preflight info can be obtained from Plymouth Opns, Tel: 01752-557550.	200306
EGD008A		EFFECTIVE TIMES	1	Mon-Thu 0800-2359Z++, Fri 0800-1600Z++, OT by NOTAM.	199911
EGD008A		CONTROLLING AGENCY	1	Preflight info can be obtained from Plymouth Opns, Tel: 01752-557550.	200306
EGD008B		EFFECTIVE TIMES	1	Mon-Thu 0800-2359Z++, Fri 0800-1600Z++, OT by NOTAM.	199911
EGD008B		CONTROLLING AGENCY	1	Preflight info can be obtained from Plymouth Opns, Tel: 01752-557550.	200306
EGD009		EFFECTIVE TIMES	1	Mon-Thu 0800-2359Z++, Fri 0800-1600Z++, OT by NOTAM.	199911
EGD009		CONTROLLING AGENCY	1	Preflight info can be obtained from Plymouth Opns, Tel: 01752-557550.	200306
EGD009A		EFFECTIVE TIMES	1	Mon-Thu 0800-2359Z++, Fri 0800-1600Z++, OT by NOTAM.	199911
EGD009A		CONTROLLING AGENCY	1	Preflight info can be obtained from Plymouth Opns, Tel: 01752-557550.	200306
EGD011		EFFECTIVE ALTITUDE	1	To 24,100' by NOTAM.	200106
EGD012		GENERAL	1	NOTE:  Contact Plymouth Mil south of N51 10'.	200306
EGD012		EFFECTIVE ALTITUDE	1	To 25,000' by NOTAM.	199911
EGD012		EFFECTIVE TIMES	1	0800-2359Z++ Mon-Thu, 0800-1600Z++ Fri, OT by NOTAM.	199911
EGD012		CONTROLLING AGENCY	1	Preflight info can be obtained from Plymouth Opns, Tel: 01752-557550.	200306
EGD013		GENERAL	1	NOTE:  Contact Plymouth Mil south of N51 10'.	200306
EGD013		EFFECTIVE TIMES	1	0800-2359Z++ Mon-Thu, 0800-1600Z++ Fri, OT by NOTAM.	199911
EGD013		CONTROLLING AGENCY	1	Preflight info can be obtained from Plymouth Opns, Tel: 01752-557550.	200306
EGD014		GENERAL	1	NOTE:  Contact Plymouth Mil south of N51 10'.	200306
EGD014		EFFECTIVE ALTITUDE	1	To 15,000' by NOTAM.	199911
EGD014		EFFECTIVE TIMES	1	0800-2359Z++ Mon-Thu, 0800-1600Z++ Fri, OT by NOTAM.	199911
EGD014		CONTROLLING AGENCY	1	Preflight info can be obtained from Plymouth Opns, Tel: 01752-557550.	200306
EGD017		GENERAL	1	NOTE:  Contact Plymouth Mil south of N51 10'.	200306
EGD017		EFFECTIVE ALTITUDE	1	To 55,000'  by NOTAM.	199911
EGD017		EFFECTIVE TIMES	1	0800-2359Z++ Mon-Thu, 0800-1600Z++ Fri, OT by NOTAM.	199911
EGD017		CONTROLLING AGENCY	1	Preflight info can be obtained from Plymouth Opns, Tel: 01752-557550.	200306
EGD021		GENERAL	1	NOTE:  Contact Plymouth Mil south of N51 10'.	200306
EGD021		EFFECTIVE TIMES	1	0800-2359Z++ Mon-Thu, 0800-1600Z++ Fri, OT by NOTAM.	199911
EGD021		CONTROLLING AGENCY	1	Preflight info can be obtained from Plymouth Opns, Tel: 01752-557550.	200306
EGD023		GENERAL	1	NOTE:  Contact Plymouth Mil south of N51 10'.	200306
EGD023		EFFECTIVE ALTITUDE	1	To 55,000' by NOTAM.	199911
EGD023		EFFECTIVE TIMES	1	0800-2359Z++ Mon-Thu, 0800-1600Z++ Fri, OT by NOTAM.	199911
EGD023		CONTROLLING AGENCY	1	Preflight info can be obtained from Plymouth Opns, Tel: 01752-557550.	200306
EGD026		CONTROLLING AGENCY	1	Preflight info can be obtained from Plymouth Opns, Tel: 01752-557550.	200306
EGD031		GENERAL	1	NOTE:  Contact Plymouth Mil south of N51 10'.	200306
EGD031		EFFECTIVE TIMES	1	0800-2359Z++ Mon-Thu, 0800-1600Z++ Fri, OT by NOTAM.	199911
EGD031		CONTROLLING AGENCY	1	Preflight info can be obtained from Plymouth Opns, Tel: 01752-557550.	200306
EGD036		GENERAL	1	NOTE:  Contact Plymouth Mil south of N51 10'.	200306
EGD036		EFFECTIVE ALTITUDE	1	To 55,000'  by NOTAM.	199911
EGD036		EFFECTIVE TIMES	1	0800-1700Z++ Mon-Thu, 0800-1400Z++ Fri, by NOTAM.	199911
EGD036		CONTROLLING AGENCY	1	Preflight info can be obtained from Plymouth Opns, Tel: 01752-557550.	200306
EGD040		EFFECTIVE ALTITUDE	1	To 55,000 by NOTAM.	199911
EGD115B		EFFECTIVE ALTITUDE	1	To 50,000' by NOTAM.	199911
EGD118		GENERAL	1	Acft opr in associated pat will be encountered outside these areas.  Pilots in vcnty of this area are strongly advs to make use of a Radar Svc.  Perms to cros fr London INFO.  Acft opr wi this area are unable to comply with the rules of the	200008
EGD118		EFFECTIVE ALTITUDE	1	To 5000', SR-SS outside main opr hr wi on-shore area.	199911
EGD118		EFFECTIVE TIMES	1	0900-1700Z++ Mon-Thu, 0900-1400Z++ Fri, OT by NOTAM.	200008
EGD123		GENERAL	1	Pilotless tgt acft/bombing/firing/demolition firing/prcht dropping in this area.	200210
EGD123		CONTROLLING AGENCY	1	Preflight info: Tel: Stonehenge 01980-674710 or 674730 when Sallisbury Opns is open. At all other times, the DAAIS may be accessed by Tel: Stonehenge 01980-674739.	200306
EGD124		CONTROLLING AGENCY	1	Preflight info: Tel: Stonehenge 01980-674710 or 674730 when Sallisbury Opns is open. At all other times, the DAAIS may be accessed by Tel: Stonehenge 01980-674739.	200306
EGD125		CONTROLLING AGENCY	1	Preflight info: Tel: Stonehenge 01980-674710 or 674730 when Sallisbury Opns is open. At all other times, the DAAIS may be accessed by Tel: Stonehenge 01980-674739.	200306
EGD126		EFFECTIVE ALTITUDE	1	To 2500' by NOTAM.	199911
EGD126		CONTROLLING AGENCY	1	Preflight info: Tel: Stonehenge 01980-674710 or 674730 when Sallisbury Opns is open. At all other times, the DAAIS may be accessed by Tel: Stonehenge 01980-674739.	200306
EGD127		EFFECTIVE ALTITUDE	1	To 8000' 1800-0600Z++, 12000' by Notam.	200008
EGD128		EFFECTIVE ALTITUDE	1	To 50,000' by NOTAM.	199911
EGD128		CONTROLLING AGENCY	1	Preflight info: Tel: Stonehenge 01980-674710 or 674730 when Sallisbury Opns is open. At all other times, the DAAIS may be accessed by Tel: Stonehenge 01980-674739.	200306
EGD130		EFFECTIVE ALTITUDE	1	To 2300' by Notam.	200309
EGD133		EFFECTIVE ALTITUDE	1	To 2400' by NOTAM.	200102
EGD138		EFFECTIVE ALTITUDE	1	To 60,000' by NOTAM.	199911
EGD138A		EFFECTIVE ALTITUDE	1	To 60,000' by NOTAM.	199911
EGD139		EFFECTIVE ALTITUDE	1	To 2000' By NOTAM.	199911
EGD201A		EFFECTIVE ALTITUDE	1	EXCL AWY R14, UR14, UR546	200102
EGD203		EFFECTIVE ALTITUDE	1	To 50,000' by NOTAM	200102
EGD207		EFFECTIVE TIMES	1	0900-1700Z++Mon-Thur, 0900-1200Z++Fri, 1800-2200Z++ Tue and Thur. Sep-Apr. O/T by NOTAM.	200102
EGD208		EFFECTIVE ALTITUDE	1	To 7500' by NOTAM	200102
EGD216		EFFECTIVE ALTITUDE	1	To 10,000' by NOTAM	200603
EGD307		EFFECTIVE ALTITUDE	1	Area is active to 5000' SR-SS outside effective times on shore. To 23,000' by NOTAM.	200011
EGD307		EFFECTIVE TIMES	1	0900-1630Z++ Mon-Thu, 0900-1500Z++ Fri, 1630-2200Z++ Tue and Thu, Sep-Apr. O/T by NOTAM.	200103
EGD308		EFFECTIVE TIMES	1	Win 1400-2200 Mon and Wed; 0900 -1700 Tue and Thu; 0900-1500 Fri; OT by NOTAM. Sum 1300-2100 Mon and Wed; 0900 -1600 Tue and Thu; 0800-1400 Fri; OT by NOTAM.	200304
EGD323A		CONTROLLING AGENCY	1	Preflight notification-Tel: RAF Neatishead, 01692-633333 Ext 8549. MDA are danger areas established for air combat manuever tng within which activity is managedby the Military Airspace Booking Cell (Tel: 01489-612495).	200509
EGD323B		CONTROLLING AGENCY	1	Preflight notification-Tel: RAF Neatishead, 01692-633333 Ext 8549. MDA are danger areas established for air combat manuever tng within which activity is managedby the Military Airspace Booking Cell (Tel: 01489-612495).	200509
EGD323C		CONTROLLING AGENCY	1	Preflight notification-Tel: RAF Neatishead, 01692-633333 Ext 8549. MDA are danger areas established for air combat manuever tng within which activity is managedby the Military Airspace Booking Cell (Tel: 01489-612495).	200509
EGD323D		CONTROLLING AGENCY	1	Preflight notification-Tel: RAF Neatishead, 01692-633333 Ext 8549. MDA are danger areas established for air combat manuever tng within which activity is managedby the Military Airspace Booking Cell (Tel: 01489-612495).	200509
EGD323E		CONTROLLING AGENCY	1	Preflight notification-Tel: RAF Neatishead, 01692-633333 Ext 8549. MDA are danger areas established for air combat manuever tng within which activity is managedby the Military Airspace Booking Cell (Tel: 01489-612495).	200509
EGD402A		EFFECTIVE ALTITUDE	1	23,000' by NOTAM.	199911
EGD402B		EFFECTIVE ALTITUDE	1	To 23,000' by NOTAM.	200102
EGD403		GENERAL	1	West Freugh APP CON prov cros svc to FL245 dur hr of opr.	200008
EGD403		EFFECTIVE TIMES	1	Mon-Thu 0900-1800Z++, Fri 0900-1630Z++, OT by NOTAM	200511
EGD403A		EFFECTIVE TIMES	1	Mon-Thu 0900-1800Z++, Fri 0900-1630Z++	200511
EGD405		EFFECTIVE ALTITUDE	1	sfc to 15000 cont; to 50000 By NOTAM.	200403
EGD406		GENERAL	1	Acft following the west coast may proceed through the Danger Area at a height not below 2000' but it is essential that they remain east of the main railway lineparallelling the coast while in the Danger Area.	200306
EGD406		EFFECTIVE ALTITUDE	1	To 80,000' by NOTAM.	200306
EGD406		EFFECTIVE TIMES	1	Mon-Fri 0800-1700Z++ Sep-Mar, 0700-1900Z++ Apr-Aug, OT by NOTAM.	199911
EGD406B		EFFECTIVE ALTITUDE	1	To 80,000' by NOTAM.	200102
EGD407		EFFECTIVE ALTITUDE	1	To 13,500 by NOTAM.	200102
EGD408		EFFECTIVE ALTITUDE	1	To 5600' by NOTAM.	200102
EGD412		CONTROLLING AGENCY	1	Booking through the Miltary Airspace Booking Co-ordination Cell ( Tel: 01489-612495)	200509
EGD505		EFFECTIVE ALTITUDE	1	To 6500'  by NOTAM.	199911
EGD508		CONTROLLING AGENCY	1	Preflight info may be obtained from Newcastle ATC 0191-2860966 Ext 3251.	200306
EGD510		GENERAL	1	Acft opr in associated pat will be encountered outside these areas.  Pilots in vcnty of weapons Rng Dgr Areas are strongly advs to make use of Radar Svc.	200008
EGD510		EFFECTIVE ALTITUDE	1	To 18,000' by NOTAM.	200102
EGD510		EFFECTIVE TIMES	1	0900-1700Z++ Mon-Thu, 0900-1600Z++ Fri, OT by NOTAM.	200011
EGD512		EFFECTIVE ALTITUDE	1	To 25000 by  NOTAM	200010
EGD512		EFFECTIVE TIMES	1	To 25000 by  NOTAM,0600-1900Z++ Mon-Fri, 1700-1900Z++ Mon-Thu	200504
EGD513		CONTROLLING AGENCY	1	Booking through the Miltary Airspace Booking Co-ordination Cell ( Tel:  01489-612495)	200509
EGD513A		CONTROLLING AGENCY	1	Booking through the Miltary Airspace Booking Co-ordination Cell ( Tel: 01489-612495)	200509
EGD513B		CONTROLLING AGENCY	1	Booking through the Miltary Airspace Booking Co-ordination Cell ( Tel: 01489-612495)	200509
EGD604		EFFECTIVE ALTITUDE	1	To 9000' by NOTAM.	199911
EGD609		EFFECTIVE ALTITUDE	1	To 5000' by NOTAM.	200303
EGD613A		CONTROLLING AGENCY	1	Preflight notification-Tel: RAF Neatishead, 01692-633333 Ext 8549. MDA are danger areas established for air combat manuever tng within which activity is managedby the Military Airspace Booking Cell (Tel: 01489-612495).	200509
EGD613B		CONTROLLING AGENCY	1	Preflight notification-Tel: RAF Neatishead, 01692-633333 Ext 8549. MDA are danger areas established for air combat manuever tng within which activity is managedby the Military Airspace Booking Cell (Tel: 01489-612495).	200509
EGD613C		CONTROLLING AGENCY	1	Preflight notification-Tel: RAF Neatishead, 01692-633333 Ext 8549. MDA are danger areas established for air combat manuever tng within which activity is managedby the Military Airspace Booking Cell (Tel: 01489-612495).	200509
EGD701		GENERAL	1	When EGD701A is activated by NOTAM, EGD701 becomes an iIntegral part of EGD701Aand is activated to the height published for EGD701A.	200306
EGD701A		GENERAL	1	When EGD701A is active by NOTAM, EGD701 becomes an integral part of EGD701A andis active to the hgt notified for EGD701A.	200011
EGD701B		GENERAL	1	This area above FL 055 is now designated a Stationary Temporary Airspace Reservation. NOTAM action will be initiated by RSO Hebrides via Shanwick Oceanic.	200304
EGD701C		EFFECTIVE ALTITUDE	1	To 15,000' by NOTAM.	199911
EGD701E		EFFECTIVE TIMES	1	Mon-Fri 1630Z++-SS and Sat 1300Z++-SS By NOTAM	200008
EGD703		EFFECTIVE ALTITUDE	1	To 22,000' by NOTAM.	199911
EGD703		EFFECTIVE TIMES	1	Mon-Thu 0900-2200Z++, Fri 0900-1400Z++, O/T by NOTAM.	200501
EGD703		CONTROLLING AGENCY	1	Acft wishing to use Dornoch or Fearn arpt dur range opr hr contact Tain range prior to entering the range.	200104
EGD712A		CONTROLLING AGENCY	1	Preflight notification-Tel: RAF  Boulmer, 01665-572312 Ext 8549. MDA are dangerareas established for air combat manuever tng within which activity is managed by the Military Airspace Booking Cell (Tel:01489-612495).	200509
EGD712B		CONTROLLING AGENCY	1	Preflight notification-Tel: RAF  Boulmer, 01665-572312 Ext 8549. MDA are dangerareas established for air combat manuever tng within which activity is managed by the Military Airspace Booking Cell (Tel: 01489-612495).	200509
EGD712C		CONTROLLING AGENCY	1	Preflight notification-Tel: RAF  Boulmer, 01665-572312 Ext 8549. MDA are dangerareas established for air combat manuever tng within which activity is managed by the Military Airspace Booking Cell (Tel: 01489-612495).	200509
EGD712D		CONTROLLING AGENCY	1	Preflight notification-Tel: RAF Boulmer, 01665-572312 Ext 8549. MDA are danger areas established for air combat manuever tng within which activity is managed bythe Military Airspace Booking Cell (Tel: 01489-612495).	200509
EGD807		GENERAL	1	72 hr  notice required	200408
EGR095		GENERAL	1	NOTE:  Flt is not permitted exc in conformity with any perms granted by or on behalf of the States Board of Administration, Guernsey.  The island of Sark is UKterritorial water although wi the Brest FIR.	200011
EGR101		GENERAL	1	NOTE:  Flt permitted for ldg and tkof fr copter ldg area at Aldermaston with perms fr person in charge of Atomic Energy Estabishment Aldermaston.	200011
EGR104		GENERAL	1	NOTE:  Flt permitted for ldg and takof fr copter ldg area at Burghfield with perms fr person in charge of Atomic Energy Establishment Burghfield.	200011
EGR105		GENERAL	1	This Rstd Area applies only to helicopters and microlight acft.	200008
EGR107		GENERAL	1	This Rstd Area applies only to helicopters.	200306
EGR204		GENERAL	1	This Rstd Area applies only to helicopters.	200306
EGR212		GENERAL	1	This Rstd Area applies only to helicopters.	200306
EGR214		GENERAL	1	This Rstd Area applies only to helicopters.	200306
EGR315		GENERAL	1	This Rstd Area applies only to helicopters.	200306
EGR319		GENERAL	1	This Rstd Area applies only to helicopters	200306
EGR321		GENERAL	1	Restricted Area applies only to helicopters. Flight permitted by any helicopteroperated by or on behalf of a police force for any aea of the UK.	200108
EGR421		GENERAL	1	Exc acft landing or taking off fr Belfast City Arpt and is under ctl of ATC Belfast City.	200008
EGR431		GENERAL	1	Excld EGP420. Flt permitted for ldg/tkof fr Belfast/Aldergrove prov the acft isunder ctl of ATC Belfast/Aldergrove.	200008
EGR432		GENERAL	1	Restricted Area applies only to helicopters. Flight permitted by any helicopteroperated by or on behalf of a police force for any aea of the UK.	200108
EGR503		GENERAL	1	Flt permitted for inst apch to Rwy 26 at Londonderry/Eglinton Arpt or after depfr Rwy 08 at Londonderry/Eglinton Arpt and while maint Rwy 08 hdg, provided (inboth cases) the acft is under the ctl of ATC Londonderry/Eglinton.	200011
EGR504		GENERAL	1	This Rstd Area applies only to helicopters	200306
EGR612		GENERAL	1	Flt permitted wi rte notified as Kelty Lane for arr and dep Edinburgh Arpt.	200008
EHD41		CONTROLLING AGENCY	1	Fri 1700Z++-Mon 0700Z++ coordinated with Amsterdam ACC.	200406
EHD42		CONTROLLING AGENCY	1	MOD NL Air OPS The Hague for: DOP/AOO/ATC, Civil telex: 43393 LUVHVS NL - for: DOP/AOO/ATC, AFTN: EHNCYNYX, Fax: 310703492373, fone: 310703492280.	199911
EHD49		EFFECTIVE ALTITUDE	1	To 32,800' by NOTAM.	199911
EHP25		AREA NAME	1	Paleis Soestdijk and Kasteel Drakesteyn.	199911
EHP26		AREA NAME	1	Huis Ten Bosch.	199911
EHP27		AREA NAME	1	Noordeinde and Noordeinde 66.	199911
EHR3		EFFECTIVE ALTITUDE	1	To 36,000' by NOTAM.	199911
EHR4A		EFFECTIVE ALTITUDE	1	To 41,000' by NOTAM	200011
EHR4A		EFFECTIVE TIMES	1	SS-2300Z++ flares may be dropped	200011
EHR4B		EFFECTIVE TIMES	1	SS-2300Z++ flares may be dropped	200011
EHR4C		EFFECTIVE ALTITUDE	1	SS-2300Z++ flares may be dropped	200011
EHR4D		EFFECTIVE ALTITUDE	1	SS-2300Z++ flares may be dropped	200011
EHR8		EFFECTIVE TIMES	1	0700-1900Z++ Mon-Thu; 0700-1500Z++ Fri, OT by NOTAM.	199911
EHR9		EFFECTIVE ALTITUDE	1	May be raised to 7900' by NOTAM.	199911
EIR15		EFFECTIVE TIMES	1	0900-1700Z++ Mon-Fri. 0900-1300Z++ Sat. OT by NOTAM.	199911
EIR16(A)		EFFECTIVE TIMES	1	0900-1700Z++ Mon-Fri. 0900-1300Z++ Sat. OT by NOTAM.	200012
EIR16(B)		EFFECTIVE TIMES	1	0900-1700Z++ Mon-Fri. 0900-1300Z++ Sat. OT by NOTAM.	200012
EIR23		CONTROLLING AGENCY	1	PPR penetration from military ATC, Casement A/D, Baldonnel.	200106
EKD350		CONTROLLING AGENCY	1	Info about effective times avbl after 1700Z the day prior.  Ctc Copenhagen ACC tel: 45 32 47 82 20.	200010
EKD351		CONTROLLING AGENCY	1	Info about effective times avbl after 1700Z the day prior.  Ctc Copenhagen ACC tel: 45 32 47 82 20.	200010
EKD352		CONTROLLING AGENCY	1	Info about effective times avbl after 1700Z the day prior.  Ctc Copenhagen ACC tel: 45 32 47 82 20.	200010
EKD353		CONTROLLING AGENCY	1	Info about effective times avbl after 1700Z the day prior.  Ctc Copenhagen ACC tel: 45 32 47 82 20.	200010
EKD370		CONTROLLING AGENCY	1	Info about effective times avbl after 1700Z the day prior.  Ctc Copenhagen ACC tel: 45 32 47 82 20.	200010
EKD373		CONTROLLING AGENCY	1	Info about effective times avbl after 1700Z the day prior.  Ctc Copenhagen ACC tel: 45 32 47 82 20.	200010
EKD379		CONTROLLING AGENCY	1	Info about effective times avbl after 1700Z the day prior.  Ctc Copenhagen ACC tel: 45 32 47 82 20.	200010
EKD380		CONTROLLING AGENCY	1	Info about effective times avbl after 1700Z the day prior.  Ctc Copenhagen ACC tel: 45 32 47 82 20.	200010
EKD381		CONTROLLING AGENCY	1	Info about effective times avbl after 1700Z the day prior.  Ctc Copenhagen ACC tel: 45 32 47 82 20.	200010
EKD389		CONTROLLING AGENCY	1	Info about effective times avbl after 1700Z the day prior.  Ctc Copenhagen ACC tel: 45 32 47 82 20.	200010
EKD395		CONTROLLING AGENCY	1	Info about effective times avbl after 1700Z the day prior.  Ctc Copenhagen ACC tel: 45 32 47 82 20.	200010
EKD396		CONTROLLING AGENCY	1	Info about effective times avbl after 1700Z the day prior.  Ctc Copenhagen ACC tel: 45 32 47 82 20.	200010
END251		WEATHER	1	Ceil-vis 6500' 6.2 NM or better.	199911
END408		EFFECTIVE TIMES	1	Small arms firing will take place to 300' without prior coord with Banak Twr.	199911
EPR1		GENERAL	1	EXCEEDING SPEED OF SOUND AND SUPERSONIC FLIGHTS PROHIBITED.	200405
EPR2		GENERAL	1	EXCEEDING SPEED OF SOUND AND SUPERSONIC FLIGHT PROHIBITED.	200405
EPR3		GENERAL	1	EXCEEDING SPEED OF SOUND AND SUPERSONIC FLIGHT PROHIBITED	200405
EPR4		GENERAL	1	EXCEEDING SPEED OF SOUND AND SUPERSONIC FLIGHT PROHIBITED.	200405
EPR5		GENERAL	1	EXCEEDING SPEED OF SOUND AND SUPERSONIC FLIGHT PROHIBITED.	200405
EPR6		GENERAL	1	EXCEEDING SPEED OF SOUND AND SUPERSONIC FLIGHT PROHIBITED.	200405
EPR7		GENERAL	1	EXCEEDING SPEED OF SOUND AND SUPERSONIC FLIGHT PROHIBITED.	200405
EPTRA01		GENERAL	1	Wave Soaring Flights	200409
EPTRA03		GENERAL	1	WAVE SOARING FLIGHTS	200413
EPTSA03		GENERAL	1	PARACHUTE JUMPING ONLY.  ATC CLEARANCE REQUIRED	200312
EPTSA36D		GENERAL	1	Collision Area with TMA Warszawa- flights within this area only after permissionand on APP Warszawa terms.	200209
EPTSA42		GENERAL	1	FOR GLIDERS ONLY	200407
EPTSA43		GENERAL	1	FOR PARACHUTE JUMPING	200407
EPTSA44		GENERAL	1	GLIDER AEROCLUB AREA. ATC CLEARANCE REQUIRED	200408
EPTSA46		GENERAL	1	For Parachute Jumping Only	200412
ESD177		CONTROLLING AGENCY	1	Fone C0910-92095.	199911
ESD178		CONTROLLING AGENCY	1	Fone C08-920030.	199911
ESR01		GENERAL	1	File a flt plan at least 45 min prior to entry, estimate time within area.  Two-way rdo com mand.	200009
ESR07		GENERAL	1	Acft with ATC clnc for Awy A-11 and/or instr apch to Umea Arpt need no further clnc.	200009
ESR09		EFFECTIVE TIMES	1	Mon-Fri exc hol 0700-1500Z++.	200408
ESR100		GENERAL	1	Restricted to SW mil, special SW acft.	200601
ESR101		GENERAL	1	Restricted to SW mil, special SW acft.	200601
ESR15A		CONTROLLING AGENCY	1	VFR flights check status with Stockholm Control on freq 132.475 MHz prior to entry.	200204
ESR15B		EFFECTIVE TIMES	1	Act dur daytime for target towing. Perm to cros area will be given exceptionally.	199911
ESR19		GENERAL	1	Photographing and similar recordings from aircraft prohibited unless permissionobtained from the Swedish Armed Forces.	200203
ESR19		EFFECTIVE TIMES	1	By NOTAM or AIP SUP.	200408
ESR200		EFFECTIVE TIMES	1	Cont 15 May-15 Sep outside mil exer hr.	200408
ESR200		WEATHER	1	Soaring in clouds.	199911
ESR204		EFFECTIVE TIMES	1	Cont 15 May-15 Sep outside mil exer hr.	200411
ESR204		WEATHER	1	Soaring in clouds.	200411
ESR205		EFFECTIVE TIMES	1	Cont 15 May-15 Sep outside mil exer hr.	200408
ESR205		WEATHER	1	Soaring in clouds.	200408
ESR206		EFFECTIVE TIMES	1	Cont 15 May-15 Sep outside mil exer hr.	200408
ESR206		WEATHER	1	Soaring in clouds.	200408
ESR207		EFFECTIVE TIMES	1	Cont 15 May-15 Sep outside mil exer hr	200408
ESR207		WEATHER	1	Soaring in clouds.	200408
ESR208		EFFECTIVE TIMES	1	Cont 15 May-15 Sep outside mil exer hr.	200408
ESR208		WEATHER	1	Soaring in clouds.	200411
ESR209		EFFECTIVE TIMES	1	Cont 15 May-15 Sep outside mil exer hr.	200411
ESR209		WEATHER	1	Soaring in clouds.	200408
ESR21		GENERAL	1	Photographing and similar recordings from aircraft prohibited unless permissionobtained from the Swedish Armed Forces.	200203
ESR21		EFFECTIVE TIMES	1	By NOTAM or AIP SUP.	200408
ESR210		EFFECTIVE TIMES	1	Cont 15 May-15 Sep outside mil exer hr.	200411
ESR210		WEATHER	1	Soaring in clouds.	200408
ESR23		CONTROLLING AGENCY	1	Stockholm ACC when clsd.	199911
ESR25		EFFECTIVE TIMES	1	Cont 0700-2100Z++ 1 May-15 Sep.	200408
ESR31		EFFECTIVE TIMES	1	Cont 15 Mar-15 Aug.	200408
ESR32		CONTROLLING AGENCY	1	Malmo ACC when clsd.	199911
ESR33		GENERAL	1	When active Aerial Photography prohibited.	200009
ESR41A		CONTROLLING AGENCY	1	Malmo ACC when clsd.	199911
ESR41B		EFFECTIVE TIMES	1	Act dur daytime for target towing.	200408
ESR41B		CONTROLLING AGENCY	1	Malmo ACC when clsd.	200408
ESR46		EFFECTIVE TIMES	1	0730-1500Z++ Mon-Thu, 0730-1100Z++ Fri and 1500-2100Z++ Tue and Thu 15 Sep-01 Apr, exc hol.	199911
ESR49A		GENERAL	1	Bombing and firing runs outside area.	200009
ESR49A		EFFECTIVE TIMES	1	0730-1500Z++ Mon-Thu, 0730-1100Z++ Fri and 1500-2100Z++ Tue and Thu 15 Sep-01 Apr, exc hol.	199911
ESR49B		GENERAL	1	Bombing and firing runs outside area.	200009
ESR49B		EFFECTIVE TIMES	1	0730-1500Z++ Mon-Thu, 0730-1100Z++ Fri and 1500-2100Z++ Tue and Thu 15 Sep to 01Apr, exc hol.	199911
ESR50		GENERAL	1	Bombing and firing runs possible outside of area.	200009
ESR52		GENERAL	1	Perms for VFR flt shall be obtained at least 14 days before intended flt.	200009
ESR52		EFFECTIVE TIMES	1	Estab dur 1 Jun-20 Aug.	200408
ESR56		CONTROLLING AGENCY	1	Stockholm ACC when clsd.	199911
ESR59		CONTROLLING AGENCY	1	Perms to cros must be obtained at least 10 min prior to est entry. Perms to crosblw 1150' will be given exceptionally only.	199911
ESR65A		CONTROLLING AGENCY	1	Stockholm ACC when clsd.	199911
ESR65B		CONTROLLING AGENCY	1	Stockholm ACC when clsd.	199911
ESR65C		CONTROLLING AGENCY	1	Stockholm ACC when clsd.	199911
ESR68		EFFECTIVE TIMES	1	Mon-Fri 0700-1500Z++.	200408
ESR74		CONTROLLING AGENCY	1	Sundsvall ACC when clsd. Perms to cross must be obtained at least 5 min before est entry. Perm to cross blw 1150 AGL will be granted by exception only.	199911
ESR75		CONTROLLING AGENCY	1	Malmo ACC when clsd.	199911
ESR77		EFFECTIVE TIMES	1	Uppsala ATS hr.	200408
ESR83A		EFFECTIVE TIMES	1	Estab dur 1 Apr - 31 Oct.	200408
ESR83B		EFFECTIVE TIMES	1	Estab dur 1 Apr-31 Oct.	200408
ESR85		GENERAL	1	Aerial photography prohibited without permission from Swedish Armed Forces.	200602
ESR85		EFFECTIVE TIMES	1	Activated by NOTAM or AIP SUP.	200602
ESR87		GENERAL	1	Aerial photography prohibited without permission from Swedish Armed Forces.	200602
ESR87		EFFECTIVE TIMES	1	Activated by NOTAM or AIP SUP.	200602
ESR88		GENERAL	1	Aerial photography prohibited without permission from Swedish Armed Forces.	200602
ESR88		EFFECTIVE TIMES	1	Activated by NOTAM or AIP SUP.	200602
ESR91		GENERAL	1	Aerial photography prohibited without permission from Swedish Armed Forces.	200602
ESR91		EFFECTIVE TIMES	1	Activated by NOTAM or AIP SUP.	200602
ESR93		GENERAL	1	Aerial photography prohibited without permission from Swedish Armed Forces.	200602
ESR93		EFFECTIVE TIMES	1	Activated by NOTAM or AIP SUP.	200602
ESR95		GENERAL	1	Aerial photography prohibited without permission from Swedish Armed Forces.	200602
ESR95		EFFECTIVE TIMES	1	Activated by NOTAM or AIP SUP.	200602
ESR97		GENERAL	1	Restricted to SW mil, special SW acft.	200601
ESR98		GENERAL	1	Restricted to SW mil, special SW acft.	200601
ESR99		GENERAL	1	Restricted to SW mil, special SW acft.	200601
EVR1		CONTROLLING AGENCY	1	3 Days prior permission to enter.	200408
EVR2		CONTROLLING AGENCY	1	3 Days prior permission to enter.	200101
FAD182		EFFECTIVE ALTITUDE	1	That portion that falls within the Johannesburg TCA upper limit is 7600' AGL.	200302
FAD200		EFFECTIVE ALTITUDE	1	S of 20.0 DME CTV eff alt to 2000' AGL, N of 20.0 DME CTV eff alt to 4000' AGL.	199911
FAD57		CONTROLLING AGENCY	1	CO SAAF Durban Intl	200009
FAR148		CONTROLLING AGENCY	1	Chief of Security, Gerotek Toetsfasiliteite (Edms) Bpk	200012
FAR29		EFFECTIVE ALTITUDE	1	At times SAAF acft opr to 3000' AGL/6.0 nm outside this area	200013
