SUAS_IDENT	SECTOR	TYPE	NAME	ICAO	CON_AGCY	LOC_HDATUM	WGS_DATUM	COMM_NAME	FREQ1	FREQ2	LEVEL	UPPER_ALT	LOWER_ALT	EFF_TIMES	WX	CYCLE_DATE	EFF_DATE
GMR11		R	HASSAN I	GMMM	LAAYOUNE TWR	WGE	WGE	LAAYOUNE TWR	127.5   M	131.1   M	L	001000AGL	GND	MON-SAT CONT	VMC	200602	05 Apr 90
GMR12		R	HASSAN I	GMMM	LAAYOUNE TWR	WGE	WGE	LAAYOUNE TWR	127.5   M	131.1   M	L	000500AGL	GND	MON-SAT CONT	VMC-IMC	200602	05 Apr 90
GOD12		D	SANGALKAM	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	001400AGL	SURFACE	BY NOTAM	VMC-IMC	200008	18 Jul 96
GOD13		D	NIAGA	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	014000AGL	SURFACE	BY NOTAM	VMC-IMC	200008	18 Jul 96
GOD14		D	M'BAOUANE	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	014000AGL	SURFACE	BY NOTAM	VMC-IMC	200008	27 Feb 97
GOD15		D	M'BOUR	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	001400AGL	SURFACE	BY NOTAM	VMC-IMC	200008	18 Jul 96
GOD16		D	TAIBA	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	001400AGL	SURFACE	BY NOTAM	VMC-IMC	200008	18 Jul 96
GOD17		D	TAMBACOUNDA	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	001700AMSL	SURFACE		VMC-IMC	200008	18 Jul 96
GOD18		D	ZONE ALPHA	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		B	BY NOTAM	BY NOTAM	BY NOTAM	VMC-IMC	200008	18 Jul 96
GOD19		D	ZONE BRAVO	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		B	BY NOTAM	BY NOTAM	BY NOTAM	VMC-IMC	200008	18 Jul 96
GOD20		D	ZONE CHARLIE	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		B	BY NOTAM	BY NOTAM	BY NOTAM	VMC-IMC	200008	18 Jul 96
GOD21		D	BOTOU (TAMBACOUNDA)	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	011500AGL	SURFACE	BY NOTAM	VMC-IMC	200008	12 Aug 99
GOD23		D	KANIAK	GOOY	DAKAR TWR	WGE	WGE	DAKAR TWR	118.1   M		L	FL145	SURFACE	BY NOTAM	VMC-IMC	200311	12 Sep 03
GOD7		D	THIES	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		B	BY NOTAM	BY NOTAM	BY NOTAM	VMC-IMC	200008	18 Jul 96
GOD8		D	THIES	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	003300AGL	SURFACE	BY NOTAM	VMC-IMC	200008	18 Jul 96
GOD9		D	SEMOU DJIMITTE	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	003300AGL	SURFACE	CONT	VMC-IMC	200008	18 Jul 96
GOP1		P	THIES	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	FL100	SURFACE	CONT SR-SS	VMC-IMC	200008	18 Jul 96
GOR10		R	CASAMANCE NATIONAL PARK	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	001000AGL	SURFACE	CONT	VMC-IMC	200311	18 Jul 96
GOR11		R	INDIA	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	FL50	00500AGL	BY NOTAM	VMC-IMC	200311	18 Jul 96
GOR2		R	DJOUDJ NATIONAL PARK	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	001000AGL	SURFACE	CONT	VMC-IMC	200008	18 Jul 96
GOR22		R		GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	FL40	SURFACE	CONT	VMC-IMC	200311	18 Jul 96
GOR3		R	NIOKOLO KOBA NATIONAL PARK	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	001000AGL	SURFACE	CONT	VMC-IMC	200008	18 Jul 96
GOR4		R	ILES DE LA MADELEINE NATIONAL PARK	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	001000AGL	SURFACE	CONT	VMC-IMC	200008	18 Jul 96
GOR5		R	LA LANGE DE BARIBARIE NATIONAL PARK	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	001000AGL	SURFACE	CONT	VMC-IMC	200008	18 Jul 96
GOR6		R		GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	FL195	SURFACE	CONT	VMC-IMC	200008	18 Jul 96
GPR52C		R	SELVAGENS	LPLP	LISBOA ACC	WGE	WGE	ACC MADEIRA SCTR	132.25  M	131.125 M	L	004500AMSL	SURFACE	CONT	VMC-IMC	200311	29 Jan 98
GQD1		D		GQNN		ADI	WGE				L	006600AGL	GND	BY NOTAM	VMC-IMC	200208	20 Sep 90
GQD2		D		GQNN		ADI	WGE				L	006600AGL	GND	BY NOTAM	VMC-IMC	200208	02 Nov 00
GQD3		D		GQNN		ADI	WGE				L	006600AGL	GND	BY NOTAM	VMC-IMC	200208	02 Nov 00
GQD4		D		GQNN		ADI	WGE				L	006600AGL	GND	BY NOTAM	VMC-IMC	200208	02 Nov 00
GQD5		D		GQPP		ADI	WGE				B	FL300	GND	BY NOTAM	VMC-IMC	200208	20 Sep 90
GQD6		D		GQNN		ADI	WGE				L	003300AGL	GND	BY NOTAM	VMC-IMC	200208	20 Sep 90
GQD7		D		GQPZ		ADI	WGE				L	006600AGL	GND	BY NOTAM	VMC-IMC	200208	01 Oct 81
GQR8		R	BANC D'ARGUIN NATIONAL PARK	GQNN	BANC DARGUIN NATIONAL PARK	ADI	WGE				L	003000AMSL	GND	CONT	VMC-IMC	200309	17 Aug 95
GQR9		R	BANC D'ARGUIN NATIONAL PARK	GQNN	BANC DARGUIN NATIONAL PARK	ADI	WGE				L	003000AMSL	GND	CONT	VMC-IMC	200309	17 Aug 95
GUR1		R		GUCY	CONAKRY APP	LIB	WGE	CONAKRY APP	119.7   M		L	FL170	FL60	BY NOTAM	VMC-IMC	200010	07 Mar 91
GUR2		R		GUCY	CONAKRY APP	LIB	WGE	CONAKRY APP	119.7   M		L	FL170	FL60	BY NOTAM	VMC-IMC	200010	07 Mar 91
GUR3		R		GUCY	CONAKRY APP	LIB	WGE	CONAKRY APP	119.7   M		L	FL170	FL60	BY NOTAM	VMC-IMC	200010	07 Mar 91
GUR4		R		GURB	LABE TWR	LIB	WGE	LABE TWR	118.9   M		L	FL170	FL60	BY NOTAM	VMC-IMC	200302	07 Mar 91
GUR5		R		GURB	LABE TWR	LIB	WGE	LABE TWR	118.9   M		L	FL170	FL60	BY NOTAM	VMC-IMC	200010	17 Oct 91
GUR6		R		GURB	LABE TWR	LIB	WGE	LABE TWR	118.9   M		L	FL170	FL60	BY NOTAM	VMC-IMC	200010	07 Mar 91
GUR7		R		GURB	LABE TWR	LIB	WGE	LABE TWR	118.9   M		L	FL170	FL60	BY NOTAM	VMC-IMC	200010	07 Mar 93
HAR1		R		HAAA	MIL	WGE	WGE				B	FL290	GND	CONT	VMC-IMC	200108	13 Jul 00
HAR2		R		HAAA	MIL	WGE	WGE				B	FL290	GND	CONT	VMC-IMC	200104	13 Jul 00
HDD1		D	MYRIAM	HD	MIL	PHA	WGE				L	FL240	GND	SAT-THU	VMC-IMC	200009	13 Jul 00
HDD10		D	HOL HOL	HDAM	MIL	PHA	WGE				L	003000AGL	GND	CONT	VMC-IMC	200009	07 Nov 96
HDD11		D	DIKHIL	HDAM	MIL	PHA	WGE				L	003000AGL	GND	CONT	VMC-IMC	200009	07 Nov 96
HDD12		D	YOBOKI	HDAM	MIL	PHA	WGE				L	003000AGL	GND	CONT	VMC-IMC	200009	07 Nov 96
HDD13		D	TADJOURAH	HDAM	MIL	PHA	WGE				L	003000AGL	GND	CONT	VMC-IMC	200009	07 Nov 96
HDD14		D	OBOCK	HDAM	MIL	PHA	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009	07 Nov 96
HDD15		D	RAMI	HDAM	MIL	PHA	WGE				L	FL240	SURFACE	BY NOTAM	VMC-IMC	200009	13 Jul 00
HDD16		D	GAHERRE	HDAM	MIL	PHA	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009	07 Nov 96
HDD5		D	ARTA PLAGE	HDAM	MIL	PHA	WGE				L	002700AMSL	SURFACE	SAT-THU	VMC-IMC	200009	13 Jul 00
HDD8		D	GONLEY	HDAM	MIL	PHA	WGE				L	004000AGL	GND	SAT-THU	VMC-IMC	200009	07 Nov 96
HDD9		D	ALI SABIEH	HDAM	MIL	PHA	WGE				L	005000AGL	GND	CONT	VMC-IMC	200009	27 Feb 97
HDR2		R	DJIBOUTI DOUDAH	HDAM	DJIBOUTI AMBOULI APP/TWR	PHA	WGE	DJIBOUTI APP TWR	121.1   M	122.1   M	L	003000AMSL	GND	SAT-THU	VMC-IMC	200009	13 Jul 00
HDR3		R	GOUBAD	HDAM	DJIBOUTI AMBOULI APP/TWR	PHA	WGE	DJIBOUTI APP TWR	121.1   M	122.1   M	L	FL240	GND	BY NOTAM	VMC-IMC	200009	13 Jul 00
HDR4		R	RAS BIR	HDAM	DJIBOUTI AMBOULI APP/TWR	PHA	WGE	DJIBOUTI APP TWR	121.1   M	122.1   M	L	FL200	SURFACE	BY NOTAM	VMC-IMC	200009	13 Jul 00
HDR6		R	DAMERJOG	HDAM	DJIBOUTI AMBOULI APP/TWR	PHA	WGE	DJIBOUTI APP TWR	121.1   M	122.1   M	L	FL120	GND	BY NOTAM	VMC-IMC	200009	13 Jul 00
HDR7		R	GODORIA	HDAM	DJIBOUTI AMBOULI APP/TWR	PHA	WGE	DJIBOUTI APP TWR	121.1   M	122.1   M	L	FL240	SURFACE	BY NOTAM	VMC-IMC	200009	13 Jul 00
HED10		D	CAIRO ZONE	HECC		WGE	WGE				B	FL400	GND	BY NOTAM	VMC-IMC	200013	22 Feb 01
HED11		D	MERSA MATRUH AERODROME	HECC		WGE	WGE				L	FL150	SURFACE	BY NOTAM	VMC-IMC	200107	22 Feb 01
HED12		D	EL MAAMURA	HECC		WGE	WGE				B	UNLTD	SURFACE	BY NOTAM	VMC-IMC	200107	05 Jun 86
HED13		D	NORTH FAYOUM	HECC		WGE	WGE				L	FL165	SURFACE	BY NOTAM	VMC-IMC	200013	22 Feb 01
HED14		D	NORTH FAYOUM	HECC		WGE	WGE				B	FL400	GND	BY NOTAM	VMC-IMC	200013	22 Feb 01
HED21		D	BREGAT	HECC		WGE	WGE				L	FL150	GND	BY NOTAM	VMC-IMC	200013	22 Feb 01
HED22		D	CAIRO WEST	HECC		WGE	WGE				B	FL500	GND	BY NOTAM	VMC-IMC	200013	22 Feb 01
HED23		D	CAIRO WEST	HECC		WGE	WGE				B	FL350	GND	BY NOTAM	VMC-IMC	200013	22 Feb 01
HED24		D	DAHSHOUR	HECC		WGE	WGE				L	FL50	GND	BY NOTAM	VMC-IMC	200013	22 Feb 01
HED25		D	NATRUN VALLEY	HECC		WGE	WGE				L	FL150	GND	BY NOTAM	VMC-IMC	200013	22 Feb 01
HED26		D	BENI SUEF	HECC		WGE	WGE				L	FL150	GND	BY NOTAM	VMC-IMC	200013	22 Feb 01
HED27		D	EAST OF SUEZ CANAL	HECC		WGE	WGE				L	FL150	GND	BY NOTAM	VMC-IMC	200014	22 Feb 01
HED4		D	ASWAN HIGH DAM	HECC		WGE	WGE				B	UNLTD	SURFACE	CONT	VMC-IMC	200013	19 Jan 84
HED5		D	RED SEA AREA	HECC		WGE	WGE				B	UNLTD	SURFACE	CONT	VMC-IMC	200013	29 Jan 98
HED6		D	LUXOR	HECC		WGE	WGE				L	FL70	SURFACE	BY NOTAM	VMC-IMC	200013	29 Jan 98
HED7		D	EAST OF KOM OMBO	HECC		WGE	WGE				L	FL135	SURFACE	BY NOTAM	VMC-IMC	200013	29 Jan 98
HED8		D	CAIRO ZONE	HECC		WGE	WGE				L	FL135	GND	BY NOTAM	VMC-IMC	200013	22 Feb 01
HED9		D	CAIRO ZONE	HECC		WGE	WGE				L	FL40	GND	BY NOTAM	VMC-IMC	200013	22 Feb 01
HEP1		P	CAIRO WEST	HECC		WGE	WGE				B	UNLTD	GND	CONT	VMC-IMC	200202	19 Jan 84
HEP16		P	INCHAS	HECC		WGE	WGE				B	UNLTD	SURFACE	CONT	VMC-IMC	200202	24 Oct 85
HEP18		P	BORG EL ARAB	HECC		WGE	WGE				B	UNLTD	SURFACE	CONT	VMC-IMC	200013	22 Apr 99
HEP19		P	BORG EL ARAB	HECC		WGE	WGE				B	UNLTD	SURFACE	CONT	VMC-IMC	200013	22 Apr 99
HEP2		P	EL KANATER EL KHIRIA	HECC		WGE	WGE				B	UNLTD	GND	CONT	VMC-IMC	200202	19 Jan 84
HEP20		P	RAS EL HEKMA	HECC		WGE	WGE				B	UNLTD	SURFACE	CONT	VMC-IMC	200008	22 Apr 99
HER17		R	HELWAN	HECC		WGE	WGE				L	003500AMSL	SURFACE	DAYS, OT BY NOTAM	VMC-IMC	200509	29 Jan 98
HHP1		P	KURMUD	HHAA	CIVIL AVIATION DEPARTMENT	MAS	WGE				B	UNLTD	GND	CONT	VMC-IMC	200410	02 Nov 00
HKD13		D	NAIROBI CONTROL ZONE	HKNA	MIL	WGE	WGE	EASTLEIGH TWR	124.3   M		L	009000AMSL	GND	CONT	VFR	200209	10 Jan 02
HKD20		D	SAMBURU	HKNA	MIL	WGE	WGE				B	020000AMSL	GND	BY NOTAM	VMC-IMC	200209	10 Jan 02
HKD21		D	MARSABIT	HKNA	MIL	WGE	WGE				B	020000AMSL	GND	BY NOTAM	VMC-IMC	200209	10 Jan 02
HKD23		D	YATTA	HKNA	MIL	WGE	WGE				B	029000AMSL	GND	CONT	VMC-IMC	200209	10 Jan 02
HKD26		D	KEEKOROK LODGE	HKNA		WGE	WGE				L	000200AGL	SURFACE	0400-0700Z DLY	VMC	200209	10 Jan 02
HKD27		D	MWEIGA AIRSTRIP	HKNA		WGE	WGE				L	001500AGL	GND	CONT	VMC-IMC	200209	10 Jan 02
HKD28		D	ABERDARE COUNTRY CLUB	HKNA		WGE	WGE				L	001500AGL	GND	CONT	VMC-IMC	200209	10 Jan 02
HKD29		D	MOMBASA	HKNA	MIL	WGE	WGE				B	025000AMSL	SURFACE	BY NOTAM	VMC-IMC	200209	10 Jan 02
HKP1		P	MOUNT LONGONOT	HKNA		WGE	WGE				L	008500AMSL	GND	CONT	VMC-IMC	200504	10 Jan 02
HKP2		P	NANYUKI	HKNA	MIL	WGE	WGE	NANYUKI TWR	124.3   M		B	UNLTD	GND	CONT	VMC	200209	10 Jan 02
HKP24		P	NAIROBI	HKNA		WGE	WGE				B	020000AMSL	GND	BY NOTAM	VMC-IMC	200209	10 Jan 02
HKP3		P	NAIROBI	HKNA		WGE	WGE				L	009000AMSL	GND	CONT	VMC-IMC	200209	10 Jan 02
HKP31		P	KAKAMEGA	HKNA		WGE	WGE				L	009000AGL	GND	CONT	VMC-IMC	200410	10 Jan 02
HKP32		P	MUTHAIGA GARDENS	HKNA		WGE	WGE				L	009000AGL	GND	CONT	VMC-IMC	200410	10 Jan 02
HKP4		P	SAGANA	HKNA		WGE	WGE				L	009000AMSL	GND	CONT	VMC-IMC	200209	10 Jan 02
HKP5		P	ELDORET	HKNA		WGE	WGE				L	009000AMSL	GND	CONT	VMC-IMC	200209	10 Jan 02
HKP6		P	KISUMU	HKNA		WGE	WGE				L	005000AMSL	GND	CONT	VMC-IMC	200209	10 Jan 02
HKP7		P	MOMBASA	HKNA		WGE	WGE				L	002000AMSL	GND	CONT	VMC-IMC	200209	10 Jan 02
HKP9		P	NAKURU	HKNA		WGE	WGE	NAKARU TWR	118.7   M		L	010000AMSL	GND	CONT	VMC-IMC	200209	10 Jan 02
HKR10		R	NANYUKI	HKNA	MIL	WGE	WGE	NANYUKI TWR	124.3   M	118.7   M	B	045000AMSL	GND	CONT	VFR	200209	10 Jan 02
HKR11		R	MOMBASA	HKNA	MIL	WGE	WGE				L	012000AMSL	GND	BY NOTAM	VMC-IMC	200209	10 Jan 02
HKR12		R	WAJIR	HKNA	MIL	WGE	WGE	WAJIR TWR	118.2   M		L	012000AMSL	GND	CONT	VMC-IMC	200209	10 Jan 02
HLD10		D		HL		EUR	WGE				L	001000AMSL	GND	CONT	VMC-IMC	200011	02 Dec 99
HLD11		D		HL		EUR	WGE				B	BY NOTAM	01000AGL	BY NOTAM	VMC-IMC	200011	12 Aug 99
HLD12		D		HL		EUR	WGE				L	001000AMSL	GND	CONT	VMC-IMC	200011	27 Aug 87
HLD13		D		HL		EUR	WGE				L	001000AMSL	GND	CONT	VMC-IMC	200011	27 Aug 87
HLD14		D		HL		EUR	WGE				L	001000AMSL	GND	CONT	VMC-IMC	200011	02 Dec 99
HLD15		D		HL		EUR	WGE				B	BY NOTAM	01000AGL	BY NOTAM	VMC-IMC	200011	02 Dec 99
HLD16		D		HL		EUR	WGE				L	001000AMSL	GND	CONT	VMC-IMC	200011	07 Dec 95
HLD17		D		HL		EUR	WGE				B	BY NOTAM	BY NOTAM	BY NOTAM	VMC-IMC	200511	13 Feb 86
HLD18		D		HL		EUR	WGE				L	001000AMSL	GND	CONT	VMC-IMC	200011	07 Dec 95
HLD19		D		HL		EUR	WGE				B	BY NOTAM	BY NOTAM	BY NOTAM		200009	13 Feb 86
HLD25		D		HL		EUR	WGE				B	FL300	SURFACE	CONT	VMC-IMC	200011	03 Feb 94
HLD27		D		HL		EUR	WGE				B	UNLTD	SURFACE	CONT	VMC-IMC	200011	01 Jan 76
HLD28		D		HL		EUR	WGE				B	UNLTD	GND	CONT	VMC-IMC	200501	20 Jan 02
HLD29		D		HL		EUR	WGE				B	UNLTD	SURFACE	CONT	VMC-IMC	200011	05 Apr 90
HLD30		D		HL		EUR	WGE				L	FL180	SURFACE	BY NOTAM	VMC-IMC	200011	22 Apr 76
HLD34		D		HL	TRIPOLI ACC	WGE	WGE	TRIPOLI CON	120.9   M	128.4   M	B	UNLTD	SURFACE	BY ATC	VMC-IMC	200501	28 Mar 96
HLD34A		D		HLLL	TRIPOLI ACC	WGE	WGE	TRIPOLI CON	120.9   M	128.4   M	L	024500AMSL	SURFACE	BY ATC	VMC-IMC	200501	30 Jan 01
HLD37		D		HL		EUR	WGE				B	FL300	SURFACE	CONT	VMC-IMC	200011	03 Feb 94
HLD39		D		HL		EUR	WGE				B	UNLTD	SURFACE	CONT		200009	03 Feb 94
HLD40		D		HL		EUR	WGE				B	UNLTD	FL75	CONT	VMC-IMC	200011	24 Aug 89
HLD41		D		HL		EUR	WGE				B	FL245	FL75	CONT	VMC-IMC	200410	03 Feb 94
HLD52		D		HL		EUR	WGE				B	FL245	SURFACE	CONT	VMC-IMC	200410	15 Sep 94
HLD53		D		HL		EUR	WGE				B	FL245	SURFACE	CONT		200410	03 Feb 94
HLD54(A)		D		HL		EUR	WGE				B	UNLTD	SURFACE	BY ATC	VMC-IMC	200011	28 Mar 96
HLD7		D		HL		EUR	WGE				L	015000AMSL	GND	CONT		200009	27 Aug 87
HLD8		D		HL		EUR	WGE				L	015000AMSL	GND	CONT		200009	27 Aug 87
HLP35		P	EL MATIA	HL		EUR	WGE				B	FL400	SURFACE	CONT	VMC-IMC	200011	20 Nov 86
HLP36		P	TRIPOLI	HL		EUR	WGE	TRIPOLI CON	120.9   M	128.4   M	B	UNLTD	SURFACE	CONT	VMC-IMC	200405	07 Nov 96
HLP37		P	TRIPOLI	HL	TRIPOLI ACC	EUR	WGE	TRIPOLI CON	120.9   M	128.4   M	B	UNLTD	SURFACE	CONT	VMC-IMC	200405	05 Apr 90
HLP51		P		HL		EUR	WGE				L	003000AMSL	SURFACE	CONT	VMC-IMC	200410	03 Feb 94
HLR2		R		HL	BENGHAZI CON	EUR	WGE	BENGHAZI APP	126.5   M	129.2   M	B	UNLTD	SURFACE	SAT-THU 0500-1200Z		200405	28 Dec 78
HLR23		R		HL	BENGHAZI CON	EUR	WGE	BENGHAZI  APP	126.5   M	129.2   M	L	001000AMSL	SURFACE	INTMT		200405	17 Dec 87
HLR24		R	BENGHAZI	HL	BENGHAZI CON	EUR	WGE	BENGHAZI APP	126.5   M	129.2   M	L	001000AMSL	SURFACE	INTMT	VMC-IMC	200405	13 Feb 86
HLR3		R		HL	BENGHAZI CON	EUR	WGE	BENGHAZI APP	126.5   M	129.2   M	B	UNLTD	SURFACE	SAT-THU 0500-1200Z		200405	13 Feb 86
HLR33		R		HL		EUR	WGE				B	UNLTD	SURFACE	CONT	VMC-IMC	200011	13 Feb 86
HLR33A		R		HL	TRIPOLI ATC	EUR	WGE	TRIPOLI CON	120.9   M	128.4   M	L	FL125	SURFACE	CONT	VFR-IFR	200405	31 May 90
HLR38		R		HL	TRIPOLI ACC	EUR	WGE	TRIPOLI CON	120.9   M	128.4   M	B	FL245	SURFACE	CONT	VMC-IMC	200410	05 Apr 90
HLR39		R		HL	TRIPOLI  ACC	EUR	WGE	TRIPOLI CON	120.9   M	128.4   M	B	UNLTD	SURFACE	CONT	VMC-IMC	200405	21 May 98
HLR39A		R		HL	TRIPOLI ACC (ATC)	EUR	WGE	TRIPOLI CON	120.9   M	128.4   M	L	005000AMSL	SURFACE	BY ATC	VMC-IMC	200405	13 Feb 86
HLR39B		R		HL	TRIPOLI ACC	EUR	WGE	TRIPOLI CON	120.9   M	128.4   M	B	FL245	SURFACE	H24	VMC-IMC	200410	05 Apr 90
HLR41		R		HL	TRIPOLI ACC	EUR	WGE	TRIPOLI CON	120.9   M	128.4   M	B	UNLTD	SURFACE	CONT	VMC-IMC	200405	31 May 90
HLR45		R		HL	TRIPOLI ACC	EUR	WGE	TRIPOLI CON	120.9   M	128.4   M	L	FL85	SURFACE	CONT	VMC-IMC	200405	03 Feb 94
HLR48		R		HL		EUR	WGE				B	UNLTD	SURFACE	CONT	VMC-IMC	200011	20 Nov 86
HLR49		R		HL	TRIPOLI  ACC	EUR	WGE	TRIPOLI CON	120.9   M	128.4   M	L	001500AMSL	SURFACE	SR-SS	VMC	200405	05 Apr 90
HLR50		R		HL	TRIPOLI  ACC	EUR	WGE	TRIPOLI CON	120.9   M	128.4   M	L	005000AMSL	SURFACE	SR-SS	VMC	200405	05 Apr 90
HLR51		R		HL	TRIPOLI ACC	EUR	WGE	TRIPOLI CON	120.9   M	128.4   M	L	001000AMSL	SURFACE	SR-SS	VMC	200405	31 May 90
HLR52		R	NONE	HL	TRIPOLI ACC	EUR	WGE	TRIPOLI CON	120.9   M	128.4   M	L	003000AMSL	SURFACE	BY ACC	VMC-IMC	200405	13 Feb 86
HLR53		R	NONE	HL	TRIPOLI ACC	EUR	WGE	TRIPOLI CON	120.9   M	128.4   M	B	FL245	FL145	CONT	VMC-IMC	200410	31 May 90
HLR54		R		HLHL	BENGHAZI CON	EUR	WGE	BENGHAZI CON	129.2   M		B	UNLTD	SURFACE	BY ATC	VMC-IMC	200405	28 Mar 96
HLR55		R		HL		EUR	WGE				B	UNLTD	SURFACE	BY ATC	VMC-IMC	200011	28 Mar 96
HLR56		R		HL		EUR	WGE				B	FL245	SURFACE		VMC-IMC	200011	28 Mar 96
HLR57		R		HL		EUR	WGE				B	UNLTD	SURFACE	BY ATC	VMC-IMC	200011	28 Mar 96
HLR58		R		HL		EUR	WGE				B	UNLTD	SURFACE		VMC-IMC	200011	28 Mar 96
HLR59		R		HL		EUR	WGE				B	UNLTD	SURFACE	BY ATC	VMC-IMC	200011	28 Mar 96
HLR60		R		HL		EUR	WGE				B	UNLTD	SURFACE	BY ATC	VMC-IMC	200011	28 Mar 96
HLR61		R		HL		EUR	WGE				B	UNLTD	GND	BY ATC	VMC-IMC	200109	27 Jun 01
HLR62		R		HL		EUR	WGE				B	UNLTD	SURFACE	BY ATC	VMC-IMC	200011	28 Mar 96
HLR63		R		HL		EUR	WGE				B	UNLTD	SURFACE	BY ATC	VMC-IMC	200011	28 Mar 96
HLR64		R		HL		EUR	WGE				B	UNLTD	SURFACE	BY ATC	VMC-IMC	200011	28 Mar 96
HLR65		R		HL		EUR	WGE				B	UNLTD	SURFACE	BY ATC	VMC-IMC	200011	28 Mar 96
HONUS MOA		M	HONUS MOA	OEJD		WGE	WGE				B	UNLTD	FL190	CONT BY NOTAM	VMC-IMC	200413	28 Apr 01
HRP3		P	BUGESERA FIRING RANGE	HR		ARS	WGE				L	FL190	GND	CONT	VMC-IMC	200511	21 May 98
HRR1		R	VOLCANO RESERVE	HR		ARS	WGE				L	001000AGL	GND	CONT	VMC	200511	21 May 98
HRR2		R	AKAGERA NATIONAL PARK	HR		ARS	WGE				L	001000AGL	GND	CONT	VMC	200511	21 May 98
HRR5		R	KIGALI CITY CENTER	HR		ARS	WGE				L	FL110	GND	CONT	VMC	200511	27 Oct 05
HSD3		D	ATBARA	HSSS		ADI	WGE				L	001700AMSL	GND	BY NOTAM	VMC-IMC	200313	13 Jul 00
HSP10A		P	WADI SEIDNA AREA	HSSS		WGE	WGE				B	FL270	GND		VMC-IMC	200412	01 Aug 04
HSP10B		P	WADI SEIDNA AREA	HSSS		ADI	WGE				B	UNLTD	GND		VMC-IMC	200313	01 Nov 02
HSP8		P	DAMAZIN	HSSS		ADI	WGE				B	UNLTD	GND	CONT	VMC-IMC	200313	13 Jul 00
HSP9		P	STATE BUILDING	HSSS		ADI	WGE				B	UNLTD	GND	CONT	VMC-IMC	200405	02 Nov 00
HSR11		R	MUGLAD AREA	HSSS		ADI	WGE				B	FL280	GND	BY NOTAM	VMC-IMC	200313	01 Nov 02
HSR2		R	EASTERN SUDAN	HSSS		ADI	WGE	KHARTOUM ACC	124.7   M	5517    K	B	UNLTD	GND	CONT	VMC-IMC	200406	13 Jul 00
HSR4		R	PORT SUDAN	HSSS		ADI	WGE	KHARTOUM ACC	124.7   M	5517    K	B	UNLTD	GND	CONT	VMC-IMC	200406	13 Jul 00
HTD10		D	SENGEREMA	HT		ARS	WGE				L	020000AMSL	GND	TUE, WED, FRI 0500-1500Z	VMC-IMC	200303	12 Jan 89
HTD11		D	RUBONDO	HT		ARS	WGE				L	020000AMSL	GND	TUE, WED, FRI 0500-1500Z	VMC-IMC	200303	07 Mar 91
HTD9		D	UKEREWE ISLAND	HT		ARS	WGE				L	020000AMSL	GND	TUE, WED, FRI 0500-1500Z	VMC-IMC	200303	22 Oct 87
HTP6(A)		P	NGERENGERE	HTDA	DAR ES SALAAM ATC	ARS	WGE				B	UNLTD	GND	CONT	VMC-IMC	200303	04 May 89
HTP6(B)		P	NGERENGERE	HTDA	DAR ES SALAAM ATC	ARS	WGE				B	UNLTD	10000AMSL	CONT	VMC-IMC	200303	04 May 89
HTR12		R		HTDA		ARS	WGE				L	FL165	GND	CONT	VMC-IMC	200008	02 May 91
HTR13		R		HTDA		ARS	WGE				L	FL165	GND	CONT	VMC-IMC	200008	02 May 91
HTR7		R	NGERENGERE	HTDC	DAR ES SALAAM ATC	ARS	WGE				L	010000AMSL	SURFACE	CONT	VMC-IMC	200303	12 Jan 89
HUD2		D	MASAKA	HUEC	ENTEBBE TOWER	ARF	WGE	ENTEBBE TOWER	118.1   M		B	020000AMSL	GND	MON-FRI 0500-1300	VFR	200112	03 Feb 94
HUD3		D	GULU	HUEC	ENTEBBE TOWER	ARF	WGE				B	030000AMSL	GND	CONT	VMC-IMC	200011	03 Feb 94
