WPT_ID	WPT_CTRY	ICAO	DUP	INB_CRS	TURN_DIR	LENGTH	TIME	ALT_ONE	ALT_TWO	SPEED	TRACK_CD	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	CYCLE_DATE
FK	RS	UUWW	20	0640	L	3		FL49	FL397		HM	FK	5	RS	4	200601
FKN	US	KZDC	10	1100	R	3					HM	FKN	2	US	1	200209
FLAKY	US	KZHU	10	0070	R	3					HM	PSX	2	US	1	200209
FLAKY	US	KZHU	20	0070	R	3					HM	PSX	2	US	1	200209
FLEAT	US	KZOA	20	2150	R	3					HM					200209
FLG	US	KZAB	10	2930	L	3					HM	FLG	4	US	1	200209
FLG	US	KZAB	20	2930	L	3					HM	FLG	4	US	1	200209
FLO	BE	EBBR	40	3100	R	3		06000	08000		HM	FLO	4	BE	1	200601
FLO	US	KZJX	10	0340	R	3					HM	FLO	2	US	1	200209
FLOOR	US	KZBW	20	0030	L	3					HM					200404
FLR	RO	LRBB	40	0820	R	3					HM	FLR	4	RO	1	200506
FOCHE	CA	CZCZ	10	0690	R	3					HM	YVR	2	CA	1	200303
FOD	US	KZMP	10	1200	R	4					HM	FOD	2	US	1	200511
FONIX	US	KZKC	10	2370	R	3					HM					200510
FONIX	US	KZKC	20	2370	R	3					HM					200510
FONIX	US	KZKC	40	2370	R	3					HM					200511
FOSTY	US	KZBW	20	0570	L	4					HM					200209
FOX	US	PAFA	20	1900	R	3					HM	FOX	5	US	1	200209
FQM	US	KZNY	10	1100	R	3					HM	FQM	4	US	1	200209
FRANX	CA	CZUL	20	0610	L	3		03400			HM					200209
FRANZ	US	KZDC	10	0890	L	3					HM					200209
FREDO	US	KZBW	20	3410	R	3					HM					200209
FSM	US	KZME	20	2260	R	3					HM	FSM	2	US	1	200209
FTM	PO	LPPC	10	2220	L		1.5	FL150	FL220		HM	FTM	4	PO	1	200409
FTM	PO	LPPC	20	2220	L		1.0	FL100	FL140		HM	FTM	4	PO	1	200409
FTO	US	PAZA	10	3580	R	3					HM	FTO	5	US	1	200209
FTZ	US	KZKC	20	1000	R	3					HM	FTZ	2	US	1	200409
FULLY	US	KZDV	20	0630	R	3					HM					200209
FUZZY	US	KZLA	40	1150	R	3		16000		280	HA					200305
FWE	GM	EDDT	40	3440	R	3		04000			HM	FWE	4	GM	1	200402
GABAL	CA	CZVR	10	1720	R	6					HM					200208
GABAL	CA	CZVR	20	1720	R	3					HM					200208
GADEK	JA	RODN	50	2350	R	10			19000		HM					200501
GAL	US	PAZA	10	0650	R	3					HM	GAL	2	US	1	200209
GAL	US	PAZA	20	0650	R	3					HM	GAL	2	US	1	200209
GARED	US	KZDC	40	0460	L	3					HM					200404
GASTO	US	PAZA	00	0410	R	3					HM					200402
GASVA	IT	LIRN	40	1220	L	5		05000			HM					200502
GAVNN	US	KCVG	40	3070	L	3					HM					200511
GDM	US	KZOB	10	1140	L	3					HM	GDM	2	US	1	200209
GDM	US	KZOB	20	1180	L	3					HM	GDM	2	US	1	200209
GED	GM	EDDU	20	1820	R	3		06000			HM	GED	2	GM	1	200402
GED	GM	EDDU	40	1820	R	3		06000			HM	GED	2	GM	1	200402
GEDSI	GM	EDDF	40	2110	R	3		05000			HM					200204
GELLE	CA	CZEG	20	3540	L	3					HM					200208
GHM	US	KZME	40	0660	R	3					HM	GHM	2	US	1	200601
GIBER	US	KZAU	20	0950	L	3					HM					200209
GIJ	US	KZAU	10	0900	L	3					HM	GIJ	2	US	1	200209
GINIA	US	KZKC	20	0920	R	4					HM					200511
GISSH	US	KFLL	40	2060	L	3					HM					200511
GKE	JA	RORG	61	2150	R	3		07000			HM	GKE	4	JA	1	200406
GLA	US	PAZA	20	1430	R	3					HM	GLA	5	US	1	200209
GLACO	US	KZLA	10	2350	L	3					HM					200209
GLENO	US	KZDV	10	0640	L	6					HM					200509
GLENO	US	KZDV	20	0640	L	6					HM					200509
GLOVR	US	KZTL	10	0630	R	3					HM					200209
GM	SP	LEMG	40	3150	R	3					HM	GM	5	SP	1	200403
GO	JA	RJTG	10	2000	L		1.5	FL150	FL600	175	HM	GO	5	JA	1	200307
GOC	JA	RJTG	10	2000	L		1.5	FL150	FL600	240	HM	GOC	2	JA	1	200307
GOING	US	KZHU	20	3540	R	3					HM					200209
GOLEB	SZ	LSAZ	20	3500	R	8		FL180	FL260	250	HM					200509
GOLFO	IT	LICZ	40	2780	L	4					HM					200403
GOLLF	US	KZMP	40	1560	L	3					HM					200505
GONNE	CA	CZYZ	20	1430	L	3					HM					200209
GOULL	US	KZDV	10	0760	R	3					HM					200209
GQE	US	KZME	10	1220	R	3					HM	GQE	4	US	1	200401
GQE	US	KZME	20	1220	R	3					HM	GQE	4	US	1	200401
GRACE	US	KZOB	20	2280	R	4					HM					200209
GRAMM	US	KLAX	40	2260	L	3					HM					200602
GRD	US	KZTL	40	0470	R	3					HM	GRD	2	US	1	200403
GRUBY	US	KZDC	20	0180	R	3					HM					200409
GSH	US	KZAU	10	2720	L	4					HM	GSH	2	US	1	200209
GSH	US	KZAU	11	0900	R	4					HM	GSH	2	US	1	200502
GSH	US	KZAU	12	0090	R	4					HM	GSH	2	US	1	200502
GSH	US	KZAU	13	0930	R	4					HM	GSH	2	US	1	200502
GSH	US	KZAU	20	2720	L	4					HM	GSH	2	US	1	200502
GSH	US	KZAU	21	0900	R	4					HM	GSH	2	US	1	200502
GSH	US	KZAU	22	0090	R	4					HM	GSH	2	US	1	200502
GSH	US	KZAU	23	0930	R	4					HM	GSH	2	US	1	200502
GSY	BE	EBCI	40	3600	L	3		FL100			HM	GSY	4	BE	1	200404
GTK	TK	KZMA	10	2960	R	3					HM	GTK	2	TK	1	200209
GTK	TK	KZMA	20	2960	R	3					HM	GTK	2	TK	1	200209
GULEG	JA	RJTG	10	0380	R	20		FL390	FL430	265	HM					200307
GULLI	US	KZKC	40	2030	R	3					HM					200602
GUP	US	KZAB	10	2180	L	3					HM	GUP	2	US	1	200209
GVA	SZ	LSRR	20	2000	R		1.0	07000	FL150	230	HM	GVA	4	SZ	2	200509
HACKK	US	KZJX	20	2530	L	3					HM					200310
HADAR	CA	CZYZ	20	2520	R	3					HM					200209
HAHNS	US	KZDV	20	1470	R	3					HM					200209
HAM	GM	EDDV	40	0090	R	3		03000			HM	HAM	2	GM	1	200402
HANKX	BF	MYNN	20	1830	R	3		04000	10000		HM					200209
HARAS	CA	CZVR	10	2330	R	6					HM					200208
HARAS	CA	CZVR	20	2330	R	3					HM					200208
HARTY	US	KZNY	10	1250	L	3					HM					200209
HARTY	US	KZNY	20	1250	L	3					HM					200209
HASKL	US	KZKC	20	3590	R	3					HM					200209
HATRK	US	KPHX	40	1270	L	7				265	HM					200513
HAYNS	US	KZMP	10	0920	L	3					HM					200209
HBU	US	KZDV	10	0310	L	3					HM	HBU	4	US	1	200209
HBU	US	KZDV	20	0310	L	3					HM	HBU	4	US	1	200209
HDM	GM	EDFF	20	0530	L	3					HM	HDM	1	GM	1	200402
HDM	GM	EDFF	21	0600	R	3					HM	HDM	1	GM	1	200402
HEATT	US	KZMA	10	0180	R	8					HM					200511
HEATT	US	KZMA	20	0180	R	8					HM					200511
HEATT	US	KZMA	40	1980	R	3					HM					200507
HEATT	US	KZMA	41	1630	R	8					HM					200511
HEDEE	US	KZID	40	2480	L	3					HM					200511
HEIMS	CA	CZYZ	10	2550	R	3					HM					200209
HELEN	TH	VTBD	40	3350	R	3					HM					200403
HELON	US	KZBW	20	2090	R	3					HM					200209
HENBY	US	KZDC	40	1810	L	3					HM					200503
HERMI	US	KZSP	40	2810	L	3					HM					200507
HESSE	US	PAZA	20	1190	R	3					HM					200402
HEXEM	US	KZAB	20	0920	R	3					HM					200407
HFF	US	KZTL	20	1150	R	3					HM	HFF	5	US	1	200209
HICKY	US	KDEN	40	0400	L	3					HM					200408
HIMMA	SA	OEPS	60	2700	R	3		05000			HM	PSA	2	SA	1	200409
HITCH	US	KZSE	30	2060	R	3					HM					200408
HNL	US	PHZH	20	2700	R	3					HM	HNL	2	US	1	200209
HOGUP	US	KZLC	20	1160	R	3					HM					200209
HOLEY	US	KZDC	40	0580	L	3				210	HM					200404
HOM	US	PAZA	20	0480	R	4					HM	HOM	4	US	1	200507
HON	UK	EGTT	40	1490	L	3		FL190			HM	HON	4	UK	1	200406
HON	UK	EGTT	41	1490	R	3		FL200			HM	HON	4	UK	1	200406
HOPER	US	PAZA	20	2850	R	3					HM					200402
HOTEL	GR	LGKR	40	0800	R	5					HM					200504
HOUTN	US	KZNY	20	2470	R	3					HM					200209
HOXIE	US	KZOB	10	1150	L	3					HM					200209
HPW	US	KZDC	10	0180	L	15					HM	HPW	2	US	1	200409
HPW	US	KZDC	50	0030	R	3					HM	HPW	2	US	1	200209
HQT	US	KZDC	00	2300	R	3					HM	HQT	5	US	1	200405
HSD	NL	EHAM	40	0880	R		1.0	03000			HA	HSD	1	NL	1	200402
HUO	US	KZNY	20	1990	R	3					HM	HUO	4	US	1	200405
HURTT	US	KZDC	10	0310	R	3					HM					200306
HURTT	US	KZDC	20	0310	R	3					HM					200306
HYMNS	US	KDEN	40	2980	L	3					HM					200408
HYPER	US	KZDC	40	2480	L	3		06000	14000	210	HM					200209
IBA	SP	LEIB	40	0650	R	3		03000			HM	IBA	4	SP	1	200406
IDARU	RO	LRBB	40	2570	L	3		05000			HM					200513
IFM	US	KZJX	20	3350	R	3					HM	IFM	1	US	1	200209
IGM	US	KZLA	30	2840	R	10		10000	16000	265	HM	IGM	4	US	1	200204
IGN	US	KZOB	20	1930	R	3					HM	IGN	4	US	1	200209
IGVER	CA	CZYZ	20	0900	L	3					HM					200208
ILJ	US	KZKC	20	1410	R	3					HM	ILJ	5	US	1	200209
IMREN	TU	LTBA	40	1020	R	3		04000	09000		HM	IST	2	TU	1	200405
IN	RS	UUWV	10	3530	L	3		FL49	FL397		HM	IN	5	RS	1	200601
IN	RS	UUWV	20	3530	L	3		FL49	FL397		HM	IN	5	RS	1	200601
INYOE	US	KSFO	10	2460	L	6					HM					200513
IRK	US	KZKC	10	0680	L	3					HM	IRK	2	US	1	200209
IRONS	US	KZDC	20	0180	R	3					HM					200209
IRW20	US	KTIK	20	2460	L	5					HM	IRW	2	US	1	200312
ISKIA	IT	LIRN	40	0560	R	5		07000			HM					200502
IST	TU	LTBB	40	2440	R	3		03000			HM	IST	2	TU	1	200601
ITALY	US	KZID	20	2490	R	3					HM					200209
ITALY	US	KZID	21	2540	R	3					HM					200209
IXE	JA	RJTG	20	1850	R		1.5	FL150	FL600	240	HM	IXE	4	JA	1	200307
IZA	SP	LECB	40	2430	L	3		03000			HM	IZA	5	SP	1	200406
JAAWS	RQ	TJZS	20	1460	R	3		12000	18000		HM					200210
JAKKS	US	KZID	20	1310	R	4					HM					200209
JANNA	US	KZNY	10	3250	R	3					HM					200209
JASON	US	PHZH	20	0540	L	5					HM					200209
JAWBN	US	KZSE	20	1300	R	3					HM					200209
JCOBS	US	KIWA	40	1710	L	3		12000	14000	230	HM					200404
JEANE	US	KCVG	40	0920	R	3					HM					200511
JENKY	US	KZKC	20	2050	R	3					HM					200209
JENNO	US	KZNY	10	1250	L	3					HM					200209
JEWIT	US	KZBW	20	2770	L	3					HM					200209
JIMEE	US	KZNY	20	2800	L	3					HM					200209
JLI	US	KZLA	10	2880	L	3					HM	JLI	2	US	1	200209
JLI	US	KZLA	40	2880	L	3					HM	JLI	2	US	1	200602
JNC	US	KZDV	30	0750	L	3					HM	JNC	2	US	1	200206
JOA	SP	LESJ	40	0600	R	3		04500			HM	JOA	4	SP	1	200405
JODOC	US	KZDC	10	3600	R	3					HM					200209
JOH	US	PAZA	50	1390	L	3					HM	JOH	4	US	1	200511
JONAN	JA	RJTT	40	3000	R	4					HM					200410
JORAY	US	KZMA	40	2000	R	3					HM					200511
JORDN	US	KZBW	20	2590	L	4				230	HM					200209
JORDN	US	KZBW	40	2590	L		1.0			230	HM					200501
JORDY	US	KZMP	10	0780	L	3					HM					200209
JOSFF	US	KRSW	40	1480	R	3					HM					200408
JOT	US	KZAU	10	0880	R	3					HM	JOT	2	US	1	200209
JULLE	US	PHZH	20	2780	L	3					HM					200209
JUNKR	CA	CZYZ	20	2940	L	3					HM					200209
JVL	US	KZAU	20	1090	L	4					HM	JVL	4	US	1	200209
KAAYS	US	KMIA	40	1660	L	3					HM					200511
KADDY	US	KLAS	40	2880	L	3					HM					200311
KAF06	AF	OAKN	50	0540	R	14			15000	280	HF	KAF	3	AF	1	200501
KAF20	AF	OAKN	50	0540	R	14			15000	280	HM	KAF	3	AF	1	200510
KALDA	US	KZDC	10	0390	L	3					HM					200209
KATES	US	KZMP	10	0760	R	3					HM					200209
KAYAK	US	PHKO	20	1590	L	3					HM					200402
KBO	GM	EDDK	40	1400	R	3		FL60			HM	KBO	4	GM	1	200402
KEA	GR	LGGG	50	3370	R	3		06000		230	HF	KEA	4	GR	1	200407
KEC	JA	RJTG	20	0830	R	20		FL140	FL600	240	HM	KEC	2	JA	1	200307
KELLY	US	KZID	20	0710	R	3					HM					200406
KERKY	BE	EBBR	40	1030	R	3		04000			HM					200601
KERNO	US	KZDC	20	0530	R	3					HM					200209
KERSY	US	KZBW	20	1500	L	3					HM					200209
KETAR	JA	RJTG	10	2610	L	20		FL390	FL430	265	HM					200309
KEYKE	US	KZAB	10	2400	R	3					HM					200209
KHRIS	US	KZBW	20	1540	R	5					HM					200602
KICKS	CA	CZYZ	20	1390	L	3					HM					200208
KIDER	US	KZKC	10	0680	L	3					HM					200209
KIPPY	US	KDEN	40	3020	R	3					HM					200408
KIRKK	US	KZDC	20	0530	R	3					HM					200209
KIRNS	US	KZJX	20	1460	R	3					HM					200209
KITOK	CA	CZYZ	10	2770	R	3					HM					200308
KIZER	US	KZJX	20	3550	R	3					HM					200312
KL	AJ	UBBB	40	2690	L		1.0				HM	KL	5	AJ	1	200404
KLF	GM	EDDI	40	0210	R	3		04000			HM	KLF	4	GM	1	200402
KNOLE	US	KSLC	10	0730	R	3					HM					200209
KNOLE	US	KSLC	20	0730	R	3					HM					200411
KNOLE	US	KSLC	21	0730	R	3					HM					200411
KOAKS	US	KZLA	20	3000	R	3					HM	RZS	2	US	1	200209
KODEY	US	KZBW	10	1330	L	3					HM					200209
KOFUN	TU	LTBB	40	2310	R		1.0	03000			HM					200408
KONB	PK	OPKC	50	2540	R	3		03000		230	HM					200502
KONJE	US	KZNY	10	2710	R	3					HM					200209
KONZL	US	KLAX	40	2490	L	3					HM					200602
KOPAG	GM	EDLL	40	2060	L	3		05000			HM					200505
KORAL	CI	SCDA	40	1850	R	3					HM					200402
KORNR	US	KZTL	20	1750	R	3					HM					200209
KRENA	US	KZAU	20	1090	L	4					HM					200209
KROCK	US	KZME	20	1000	R	3					HM					200209
KSINO	US	KZLA	10	2250	R	3					HM					200209
KSINO	US	KZLA	20	2250	R	3					HM					200209
KUBBS	US	KZAU	10	2610	R	3					HM					200209
KUS	LH	EYKA	50	0800	L	4		03500		230	HM	KUS	5	LH	1	200409
KUS	LH	EYKA	51	2600	L	4.6		03500		230	HM	KUS	5	LH	1	200409
KV	NO	ENTC	40	1890	L	3					HM	KV	5	NO	1	200410
LAFAY	US	KZBW	20	0540	R	3					HM					200209
LAM	UK	EGTT	43	2660	L	3					HM	LAM	4	UK	1	200403
LAM	UK	EGTT	45	2500	L	3					HM	LAM	4	UK	1	200403
LANDR	US	KZDV	40	2150	L	3					HM					200408
LANDU	GM	EDMM	20	2670	R	3		05000			HM					200402
LANDU	GM	EDMM	40	2140	L	3		05000			HM					200602
LANRK	CA	CZYZ	20	0670	R	3					HM					200208
LANUM	GM	EDDI	40	1350	L	3		04000			HM	KLF	4	GM	1	200204
LAR	PO	LPMT	20	2080	R		1.0	04000	FL80		HM	LAR	5	PO	1	200409
LARDS	US	KZJX	20	0750	R	3					HM					200209
LARKS	US	KZDV	40	0400	L	3					HM					200408
LARUL	SP	LEIB	40	1200	R	4		05000			HM					200403
LBE	GM	EDDV	40	1120	R	3					HM	LBE	4	GM	1	200407
LBU	GM	EDFF	40	1780	L	3		05000			HM	LBU	4	GM	1	200402
LCH14	GM	ETSL	50	2800	L	8					HM	LCH	3	GM	1	200601
LCH90	GM	ETSL	50	1500	R	6					HM	LCH	3	GM	1	200601
LEBTI	GM	EDDL	40	2350	R	3		03000			HM	BAM	2	GM	1	200504
LEBUR	US	KHST	40	1900	L	3					HM					200511
LEMIG	US	KZHU	20	3550	R	3					HM					200209
LENDY	US	KZNY	10	1350	R	3					HM					200209
LERSI	GM	EDDT	30	0170	L	3		04000			HM	KLF	4	GM	1	200204
LERSI	GM	EDDT	40	0170	L	3		04000			HM	KLF	4	GM	1	200402
LFV	US	KZBW	10	3600	L	3					HM	LFV	4	US	1	200209
LFV	US	KZBW	20	3600	L	3					HM	LFV	4	US	1	200313
LGC	US	KZTL	40	0480	R	3					HM	LGC	2	US	2	200206
LGC	US	KZTL	41	0510	R	7					HM	LGC	2	US	2	200507
LHS	US	KZLA	20	1490	L	3					HM	LHS	2	US	1	200209
LHT09	JA	RJNH	50	2690	R	4		03000			HM	LHT	3	JA	1	200501
LHY	US	KZNY	20	2680	R	3					HM	LHY	2	US	1	200209
LIBIE	US	KDEN	40	2140	L	3					HM					200408
LIMME	US	KZAU	20	1270	R	3					HM					200209
LIMPS	US	KZID	20	0620	R	3					HM					200209
LINNG	CA	CZYZ	20	3400	L	3					HM					200208
LINSY	CA	CZYZ	20	2550	L	3					HM					200208
LISLE	US	KZID	20	0090	R	3					HM					200209
LITCH	US	KZKC	20	1910	L	3					HM					200511
LIZZI	US	KZNY	20	1150	R	4					HM					200209
LLIPS	US	KZJX	20	2030	R	3					HM					200601
LMA	GM	EDLL	40	2410	R	3		04000			HM	LMA	5	GM	1	200504
LNZ	AU	LOVV	30	2660	R	3		04000			HA	LNZ	4	AU	1	200211
LOAMY	US	KZKC	10	0590	R	3					HM					200209
LOBBY	US	KZBW	20	1110	L	3					HM					200209
LOBOE	US	KZFW	20	2700	L	3					HM					200209
LODGE	US	KZAU	20	1170	L	4					HM					200209
LORIN	US	KZDV	20	2560	L	3					HM					200209
LORKA	CA	CZUL	20	1650	L	3					HM					200209
LORLE	US	KZKC	40	1460	R	3					HM					200511
LOVES	US	KZBW	20	1560	L	3					HM					200209
LUB	GM	EDDV	20	3460	R	3		04000			HM	LUB	1	GM	1	200402
LUB	GM	EDDV	40	3460	R	3		04000			HM	LUB	1	GM	1	200313
LUCIT	US	KZAU	20	3360	R	3					HM					200209
LUISE	US	KZOB	10	1170	L	3					HM					200209
LUXOR	US	KZLA	20	2260	L	3					HM					200209
LVS	US	KZAB	10	1920	L	3					HM	LVS	2	US	1	200209
LVS	US	KZAB	20	1920	L	3					HM	LVS	2	US	1	200209
LWB	GM	EDDI	40	2540	R	3		04000			HM	LWB	4	GM	1	200402
LYALL	NZ	NZWN	50	3430	L	3		03000			HM					200406
LYD	UK	EGTT	40	3200	R	3		14000			HM	LYD	4	UK	2	200407
LYD	UK	EGTT	41	3200	L	3		14000			HM	LYD	4	UK	2	200407
LYNTN	US	KZOB	20	0640	L	3					HM					200209
MACEY	US	KZTL	40	2240	R	15					HM					200507
MAIZE	US	KZID	20	1360	R	3					HM					200209
MANDI	IN	VABB	50	1830	L	3		08000		230	HM					200506
MANKA	SP	LEMD	40	1270	R	3		FL170			HM					200407
MANNE	US	KZDC	20	1200	L	3					HM					200209
MAPLE	UK	EGBB	50	3290	L	3		03000		230	HM	HON	4	UK	1	200406
MAR	SP	LECS	40	1540	L	3					HM	MAR	4	SP	1	200403
MARCS	US	KZHU	20	2360	R	3					HM					200209
MARKI	US	KZME	20	0410	R	3					HM					200209
MARVI	US	KTPA	40	1830	L	3					HM					200404
MATAN	US	KZID	20	2420	R	3					HM					200209
MAZIE	US	KZNY	20	1240	R	3					HM					200209
MCW	US	KZMP	10	0980	L	3					HM	MCW	2	US	1	200209
MCW	US	KZMP	20	0980	L	3					HM	MCW	2	US	1	200313
ME	TU	LTBJ	50	3450	R		1.0	04000			HM	ME	5	TU	1	200408
ME	TU	LTBJ	51	3440	R		1.0				HM	ME	5	TU	1	200408
MEN	TU	LTBJ	60	3480	L		1.0	04500			HM	MEN	4	TU	1	200408
MERCY	US	KZOB	20	2860	L	10					HM					200506
MERGE	US	KZFW	20	1770	L	3					HM					200209
MERSR	US	KZNY	20	0570	R	3					HM					200209
MERUE	FR	LFPB	60	0990	L	5		03000		220	HM					200503
MERYT	CA	CZVR	10	2200	R	6					HM					200208
MERYT	CA	CZVR	20	2200	R	3					HM					200208
METRO	GM	ETOU	40	2420	R	3		04000			HM					200603
METRO	US	KZNY	20	0570	L	3					HM					200209
MF	RS	UUWV	10	2380	L	3		FL49	FL397		HM	MF	5	RS	2	200601
MF	RS	UUWV	20	2380	L	3		FL49	FL397		HM	MF	5	RS	2	200601
MGW	US	KZOB	10	1270	L	3					HM	MGW	2	US	1	200209
MIGET	US	KZOB	10	1090	R	3					HM					200209
MILKY	US	KZDV	20	1120	R	8					HM					200209
MILSY	US	KZMA	40	2420	R	3					HM					200511
MINNK	US	KZBW	20	0460	R	3					HM					200209
MIP	US	KZNY	10	1090	L	3					HM	MIP	2	US	1	200209
MIQ	GM	EDMM	40	0820	R	3		05000			HM	MIQ	5	GM	1	200402
MIROY	US	KZOB	10	0960	R	3					HM					200209
MISSY	US	KZDV	20	3140	R	3					HM					200209
MIZAR	US	KZOB	20	0660	L	3					HM					200209
MJE	JA	RJTG	20	0520	R	20		FL150	FL600	240	HM	MJE	4	JA	1	200307
MJV	SP	LECB	40	2750	L	3					HM	MJV	4	SP	1	200405
MJV	SP	LECB	41	0540	R	3		03000			HM	MJV	4	SP	1	200405
MJV	SP	LECB	42	2630	L	3		03000			HM	MJV	4	SP	1	200411
MKK	US	PHZH	20	2360	R	3					HM	MKK	2	US	1	200209
MLC	US	KZFW	10	1710	R	3					HM	MLC	2	US	1	200209
MLC	US	KZFW	20	1710	R	3					HM	MLC	2	US	1	200209
MLD	US	KZLC	20	3280	R	3					HM	MLD	4	US	1	200313
MNVDB	US	KZTL	20	0380	R	3					HM	MNV	5	US	1	200504
MNZ	US	KZFW	20	3500	R	3					HM	MNZ	5	US	2	200209
MO	CI	SCTE	50	3510	L	4.3					HM	MO	5	CI	1	200406
MOBEE	US	KZTL	40	0840	R	7					HM					200504
MOD	US	KZOA	40	2440	L	3					HM	MOD	4	US	1	200513
MOKLI	KS	RKSO	50	0910	L	9				265	HM	OSN	2	KS	1	200404
MOLEK	FR	LFFF	40	3160	R		1.0				HM					200512
MOSIT	SZ	LSAZ	20	3530	R		1.0	14000	FL200	230	HM					200509
MOXEE	US	KPDX	40	3450	R	3					HM					200507
MRE	JA	RJTG	10	0290	L		1.5	FL210	FL600	240	HM	MRE	4	JA	1	200307
MROON	US	KIAH	40	1330	R	3					HM					200511
MSN	US	KZAU	20	1710	R	3					HM	MSN	2	US	1	200209
MTJ	US	KZDV	20	1190	R	3					HM	MTJ	4	US	1	200209
MTR	GM	EDDF	40	2420	R	3					HM	MTR	1	GM	1	200603
MUDRE	US	KABE	61	2490	R	3					HM					200404
MUGZY	US	KZNY	20	1250	L	3					HM					200209
MULLS	US	KZTL	10	0360	R	3					HM					200209
MULRR	US	KZDC	40	2480	L	3		06000	14000	210	HM					200209
MUMSY	US	KZDC	20	1040	R	3				210	HM					200313
MUN	GM	EDMM	40	0820	R	3		05000			HM	MUN	4	GM	2	200402
MURAD	AF	OAKX	10	2040	L		1.5	FL190	FL250		HM					200508
MURFE	US	KZDV	40	0400	L	3					HM	BRK	2	US	1	200408
MWA	US	KZKC	40	2560	R	3					HM	MWA	4	US	1	200206
MWE	JA	RJTG	10	0200	R		1.5	FL240	FL600	240	HM	MWE	4	JA	1	200307
MZT	MX	MMZT	30	0830	R	3					HM	MZT	4	MX	1	200403
MZT	MX	MMZT	31	2670	L	3		04000			HM	MZT	4	MX	1	200403
NADIA	IT	LICA	40	0960	R	4		04000			HM	LMT	4	IT	1	200506
NAJMA	QA	OTBD	50	3360	R	3		02000	13000	230	HM					200408
NAMUR	RM	PKRO	50	0480	R	5					HM					200501
NAPEE	CA	CZUL	20	0030	R	3					HM					200209
NAPSA	GM	EDMM	40	2740	L	3		05000			HM					200602
NAPTO	US	PAZA	20	1730	R	3					HM					200407
NAPTO	US	PAZA	21	3530	R	3					HM					200402
NARSO	NL	EHAM	40	3580	L		1.0	FL200		250	HA	EEL	4	NL	1	200402
NASAT	GM	EDDI	40	1270	L	3		04000			HM					200204
NASHE	US	KZKC	20	1710	L	3					HM					200209
NEMOS	SZ	LSAG	10	2320	R	9		FL110	FL230	230	HA					200302
NEMOS	SZ	LSAG	20	2320	R	9		FL180	FL195	230	HA					200302
NESTO	US	KZOB	20	3150	R	3					HM					200209
NEUTO	US	KATL	40	1490	R	8					HM					200507
NEWBE	US	KZBW	20	1000	R	3					HA					200301
NEWBE	US	KZBW	40	0990	R		1.0			230	HM					200501
NICKL	US	KZMP	20	2830	L	10					HM					200507
NICKL	US	KZMP	40	2830	L	10					HM					200313
NIE	GM	EDWW	40	0920	L	3		03000			HM	NIE	1	GM	1	200402
NIKOL	US	KZOA	20	2500	R	3					HM					200405
NIKOL	US	KZOA	21	2520	R	6					HM					200405
NIVOR	BE	EBBR	40	0770	L	3		03000			HM	HUL	4	BE	1	200601
NJC	JA	RJTG	10	0720	R		1.5	FL150	FL600	240	HM	NJC	2	JA	1	200307
NKKIE	US	KZDC	10	1820	R	3					HM					200306
NOB15	VM	VVNB	50	2190	R	3		07100		230	HM	NOB	4	VM	1	200406
NOLAN	US	KZFW	20	0620	R	3					HM					200209
NOR	GM	EDDV	20	0690	R	3		FL60			HM	NOR	2	GM	2	200402
NOR	GM	EDDV	40	0690	R	3		FL60			HM	NOR	2	GM	2	200204
NORUS	CA	CZUL	20	1980	R	3					HM	YWK	4	CA	1	200209
NUKRO	GM	EDBB	20	3530	R	3		04000			HM					200402
NUKRO	GM	EDBB	40	3530	R	3		04000			HM					200313
NUTAL	US	KZJX	20	0170	R	3					HM					200209
NW	NL	EHBK	40	2130	R		1.0	03000		175	HA	NW	5	NL	1	200402
NYACK	US	KTEB	20	2550	R	3					HM					200209
OASIS	JA	RJTT	40	3350	R	4					HM					200410
OATHE	US	KZDV	40	2610	R	3					HM					200408
OBUGA	RO	LRBB	40	3210	R	3		05000			HM					200513
OCC	US	PAZA	20	1120	R	3					HM	OCC	5	US	1	200209
OCK	UK	EGTT	40	3320	R	3		FL70			HM	OCK	4	UK	1	200403
OCN	US	KZLA	20	0900	R	3					HM	OCN	2	US	1	200209
OCN14	US	KNFG	50	2060	L	5		04800			HM	OCN	2	US	1	200312
OCS	US	KZLC	20	2700	R	3					HM	OCS	2	US	1	200209
OCS	US	KZLC	21	2600	R	3					HM	OCS	2	US	1	200209
OD	NZ	NZCH	50	1970	R	3		02500			HM	OD	5	NZ	1	200602
OED	US	KZSE	20	3370	R	3					HM	OED	2	US	1	200209
OGATE	US	KZDC	40	0310	L	3					HA					200305
OGATE	US	KZDC	41	0350	L	3		10000	14000	230	HM					200501
OKRIX	FR	LFFF	40	3390	L	9					HM					200512
OLM	US	KZSE	10	3310	L	3					HM	OLM	2	US	1	200209
OLM	US	KZSE	20	3310	L	3					HM	OLM	2	US	1	200411
OLOOK	US	PAZA	20	0660	R	3					HM	SRI	7	US	1	200209
OMAKO	FR	LFFF	40	3150	L	3					HM					200405
OMAPA	JA	RODN	50	0550	L	10		06000	19000		HM					200501
OMBRE	CA	CZUL	10	0970	R	3					HM					200509
OMBRE	CA	CZUL	20	2770	R	3					HM					200209
OME	US	PAZA	10	2430	L	3					HM	OME	4	US	1	200209
