ARPT_IDENT	RMK_SEQ	REMARK	CYCLE_DATE
US06592	4	GL/980 feet MSL.   Rwy 20; Multiple trees beginning 1744 feet from DER, 823 feetright of centerline, up to 68 feet AGL/521 feet MSL.  Rwy 29; Wind sock 341 feet from DER, 291 feet left of centerline, 11 feet AGL/461 feet MSL. Multiple tree	200601
US06592	5	s beginning 559 feet from DER, 360 feet right of centerline, up to 77 feet AGL/534 feet MSL. Theater screen 1488 feet from DER, 1346 feet right of centerline, 77 feet AGL/530 feet MSL.    IFR ALTERNATE MINIMUMS:  ILS or LOC Rwy 20 (1)(2)  V	200601
US06592	6	OR Rwy 20 (3)    (1) ILS, LOC, NA when control tower closed  (2) ILS, LOC NA when local weather not available  (3) CAT D, 800-2 1/4	200601
US06693	1	IFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  Rwy 7, 300-1; Or standard with minimum climb of 300/NM to 300.    TAKEOFF OBSTACLES:  Rwy 7: 15' AGL bunker 25' from DER, right of centerline.	200402
US06718	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    DEPARTURE PROCEDURE:  Rwy 36, climb to 1000 before turning eastbound.    TAKEOFF OBSTACLES:  Rwy 18, tree 2106' from DER, 291' right of centerline, 66 AGL/92 MSL. Tree 2744' from	200601
US06718	2	DER, 539' left of centerline, 71 AGL/97 MSL.  Rwy 32, sign 2830' from DER, 1042'left of centerline, 93 AGL/119 MSL. Tree 2662' from DER, 173' right of centerline, 72 AGL/98 MSL.  Tree 1545' from DER, 180' left of centerline, 44 AGL/70 MSL.	200601
US06718	3	Tree 1975' from DER, 242' left of centerline, 54 AGL/80 MSL. Tree 1089' from DER, 577' left of centerline, 28 AGL/54 MSL.  Rwy 36, Tree 1522' from DER, 326' right of centerline, 58 AGL/84 MSL. Tree 1367' from DER, 86' left of centerline, 3	200601
US06718	4	8 AGL/64 MSL.     IFR ALTERNATE MINIMUMS:  ILS or LOC Rwy 32    NA when control tower closed.	200601
US06818	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES:  Rwy 09L, 09R, 11, 15, 29 turn right. Rwy 33 turn left. Rwy 27L/R maintain rwy heading, all acft climb to 4000 or above via V-107 to COMMO INT. If not at 4000 at COMMO INT, climb in	200601
US06818	2	holding pattern (Hold E, RT, 288  inbound) before proceeding on course.    ALTERNATE MINIMUMS:  ILS Rwy 11(1)  ILS Rwy 27R(1)  ILS Rwy 29(1)  VOR/DME Rwy 27L(2)  VOR or GPS Rwy 09R(2)  (1) ILS, Category C, 700-2; Category D, 700-2 1/4.	200601
US06818	3	LOC, Category D, 800-2 1/4.  (2) Category D, 800-2 1/4.    ALTERNATE MINIMUMSNA:  RNAV (GPS) Rwy 09L  RNAV (GPS) Rwy 09R  RNAV (GPS) Rwy 11  RNAV (GPS) Rwy 27L  RNAV (GPS) Rwy 27R  RNAV (GPS) Rwy 29	200601
US07036	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES:  Diverse departures not authorized.	200213
US07056	1	IFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  Rwy 18; 300-1.  Rwy14L; 400-2 or standard with minimum climb of 210/NM to 1500. All rwys, climb rwy hdg to 2600 before turning.    IFR ALTERNATE MINIMUMS  ILS R	200601
US07056	2	wy 14R (1)  ILS Rwy 18 (1)  ILS Rwy 32L (1)  ILS or LOC Rwy 32R (2)  VOR Rwy 32L(3)  (1) ILS, Categories A,B, 700-2; Category C, 800-2; Category D, 800-2 1/4. LOC, Category D, 800-2 1/4.  (2) ILS,  Category A, B, C, 700-2, Category D 700-2	200601
US07056	3	1/4. LOC Category D, 800-2 1/4.  (3)  Category D, 800-2 1/4.	200601
US07172	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES:    Copter departure, climb from landing area direct to EDIZ HOOK NDB. Continue climb in holding pattern (NE,RT, 237 ) to MEA for direction of flight.	200401
US07177	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  TAKE-OFF MINIMUMS:  Rwy 20, Categories A/B std. Categories C/D/E 2800-1 or std with min climb of 367'/NM to 3200'.  Rwy 23, Categories A/B std. Categories C/D/E 1600-1 or std with minimum cli	200602
US07177	2	mb of 240'/NM to 2000'.  DEPARTURE PROCEDURE:  Comply with SID or RADAR VECTORS or: RADAR VECTORS OR:  Rwys 02, 05, aircraft departing on V6-22 NW or V11, R576,R577 climb to 1000' via OGG R-030 then climb on course. All other routes climb	200602
US07177	3	North via OGG R-010 then climbing left turn direct OGG VORTAC to cross at or above 5500'.  Rwys 20, 23, climb heading 215  to 500' then climbing left turn direct OGG VORTAC thence aircraft departing on V6-22 NW or V11, R576, R577 climb on c	200602
US07177	4	ourse. All other routes climb North via OGG R-010 then climbing left turn directOGG VORTAC cross at or above 5500'.    ALTERNATE MINIMUMS:  ILS RWY 02 (1) (2) LOC/DME BC RWY 20 (2)  NDB/DME RWY 02 (2)  VOR/DME or TACAN RWY 20 (3)  (1) ILS	200602
US07177	5	Cat E, 1200-3. LOC, Cat E, 1200-3.  (2) NA when control tower closed.  (3) NA when control tower closed, except for operators with approved weather reporting service.	200602
US07208	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES  Rwy 07, 25, NA  Rwy 11, 1800-2*  Rwy 29, 1200-2**  *Or standard with minimum climb of 320/NM to 2300.**Or standard with minimum climb of 390/NM to 1700.  Rwy 11 climb runway headi	200601
US07208	2	ng to 900 then climbing right turn direct MQO VORTAC.  Rwy 29, climb via runway heading and MQO R-050 to MQO VORTAC. All aircraft departing on MQO R-130 CW R-320 climb on course.  All others continue climbing MQO holding pattern (SE, left t	200601
US07208	3	urns, 306 inbound) to cross MQO VORTAC at or above 4000.    IFR ALTERNATE MINIMUMS  ILS Rwy 11 (1) (2)  VOR or TACAN-A (3)  (1) NA when control tower closed.  (2) Categories A,B, 900-2; Category C, 1000-2 3/4; Category D, 1100-3.  (3) CAT A	200601
US07208	4	B, 1500-2; CAT CD 1500-3    ALTERNATE MINIMUMS NA  RNAV (GPS) Rwy 11  RNAV (GPS)Rwy 29	200601
US07251	1	IFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  Rwy 28, 300-1    ALTERNATE MINIMUMS  VOR or GPS Rwy 10: CAT D, 800-2 1/4.    ALTERNATE MINIMUMS NA  NDB RWY 28  GPS RWY 28	200403
US07296	1	IFR ALTERNATE MINIMUMS:  ILS Rwy 35  VOR Rwy 35    NA when control tower closed.ALTERNATE MINIMUMS:NA  GPS Rwy 35	200601
US07305	1	IFR ALTERNATE MINIMUMS:  ILS or LOC Rwy 01L (1)   ILS Rwy 01R (1)  ILS or LOC Rwy 19L (2)  ILS or LOC Rwy 19R (1)  VOR Rwy 14 (3)  (1) LOC, Category E, 800-2 1/4.  (2) Category E, 800-2 1/4.  (3) Categories A,B, 900-2; Category C, 900-2 1/2	200603
US07305	2	; Category D, 900-2 3/4.	200603
US07342	1	TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF OBSTACLE NOTES:Rwy 01R; Tree 1653' from DER, 661 feet left of centerline, 60' AGL/1019' MSL. Rwy 09; Tree 4544' from DER, 638' right of centerline, 100' AGL/1159' MSL.  Rwy	200511
US07342	2	27; Trees beginning 1066' from DER, across centerline, up to 86' AGL/1095' MSL.ALTERNATE MINIMUMS NA:  ILS RWY 27  RNAV (GPS) RWY 01L  RNAV (GPS) RWY 01R RNAV (GPS) RWY 19L  RNAV (GPS) RWY 19R  RNAV (GPS) RWY 27  RNAV (GPS) Y RWY 09	200511
US07342	3	RNAV (GPS) Z RWY 09	200511
US07387	1	IFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  Rwy 18 - (Southwest departures 200  CW to 260 ), climb via heading 182  to 3200 before proceeding on course. Rwy 21, (Southwest departures 200  CW to 260 ), clim	200507
US07387	2	b via heading 209  to 3200 before proceeding on course.    TAKEOFF OBSTACLES  Rwy 36, tree 2700' from DER, 1097' right of centeline, 100' AGL/987' MSL.    IFR ALTERNATE MINIMUMS  ILS Rwy 18 (1)  LOC/DME Rwy 18 (1)  ILS Rwy 21 (1)  LOC Rwy 2	200507
US07387	3	1 (1)  ILS Rwy 36 (1)  LOC/DME Rwy 36 (1)  VOR/DME or TACAN Rwy 14 (2)  VOR/DME or TACAN Rwy 18 (2)  VOR/DME or TACAN Rwy 32 (4)  VOR Rwy 21 (5)  RNAV (GPS) RW14 (6)  RNAV (GPS) RW18 (6)  RNAV (GPS) RW21 (6)  RNAV (GPS) RW32 (6)  RNAV (GPS)	200507
US07387	4	RW36 (6)  (1)NA when control tower closed.  (2)Category E, 800-2 3/4.  (3)Category E, 800-3.  (4)Category D, 800-3.  (5)Categories A, B, 900-2; Category C, 900-2 1/2; Category D, 900-2 3/4.  (6) NA	200507
US07422	1	TAKEOFF MINIMUMS: Rwy 07 - 1800-3 or standard with climb gradient of 470' per NMto 1800. Rwy 25 - Standard.    TAKEOFF NOTES: Trees 3500' right of DER, 60' AGL/709' MSL. Trees 4500' right of DER, 60' AGL/1059' MSL.	200312
US07452	1	IFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  Rwy 04: NA.  Westbound: Rwy 08: Climbing left turn heading 214 ; Rwy 22: Climbingright turn heading 302 ;  Rwy 26: Climbing right turn heading 275 ; intercept D	200601
US07452	2	MN VORTAC R-258 then via V94 on course.  Eastbound: Rwy 08: Climb direct DMN VORTAC; Rwys 22, 26: Climbing right turn direct DMN VORTAC; then via V94 on course.Northbound: Rwy 08: Climb direct DMN VORTAC. Rwy 22, 26: Climbing right turn d	200601
US07452	3	irect DMN VORTAC; then via V110 on course.    IFR ALTERNATE MINIMUMS:  RNAV (GPS) Rwy 04  RNAV (GPS) Rwy 26   VOR Rwy 26   NA when local weather not available.	200601
US07738	1	IFIFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS: Climb Rwy hdg to 3000 before turning East.    ALTERNATE MINIMUMS NA:  VOR or GPS RWY 17	200403
US07812	1	IFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  Rwy 02, 20, 300-1	200403
US07889	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES:  DEPARTURE PROCEDURE:Rwy 1, climb straight ahead to 500, northwestbound (270  CW 360 ) turn right direct DLG VOR/DME.  Rwy 19, northwestbound (270  CW 360 ) climb straight ahead t	200302
US07889	2	o DLG VOR/DME, then on course.	200302
US07980	1	IFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  Rwy 03, 31, climb rwy heading to 2500 before proceeding on course. Rwy 13, 21, climb rwy heading to 3800 before proceeding South.    ALTERNATE MINIMUMS:  ILS Rwy	200403
US07980	2	13 (1) (2)  ILS Rwy 31 (1) (2)  VOR or GPS-A (3)  (1) ILS, Category D, 800-2 1/2; Category E, 900-3. LOC NA.  (2) NA when control tower not in operation.  (3) Category D, 800-2 1/2.    ALTERNATE MINIMUMS NA:  NDB or GPS RWY 31  RNAV (GPS)	200403
US07980	3	RWY 03  RNAV (GPS) RWY 21	200403
US08081	1	IFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  03079, Amdt 2  Rwy 21, 300-1*  *or standard with minimum climb of 500'/NM to 500'.    TAKE-OFF OBSTACLES  Rwy 21, tower 2831' from DER, 926' left of centerline,	200403
US08081	2	162' AGL/172' MSL.	200403
US08322	1	IFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  Rwy 05: 400-2 Or standard with minimum climb of 220/NM to 500.    IFR ALTERNATE MINIMUMS:  ILS RW14 (1)  NDB RW14  VOR or TACAN RW14   RNAV (GPS) RW14(2)  RNAV (	200601
US08322	2	GPS) RW32(2)    NA when control tower closed.  (1) ILS, CAT D, 700-2  (2) NA when local weather not available.    IFR ALTERNATE MINIMUMS NA:  RNAV (GPS) RW05  RNAV (GPS) RW23	200601
US08349	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES:    TAKE-OFF OBSTACLES:  Rwy 27: 80' AGL trees, 2469' from dep end of rwy, 1054' right of centerline; 80' AGL trees 3665' from dep end of rwy, 770' left of centerline.	200403
US08434	1	ALTERNATE MINIMUMS NA:  NDB RWY 10  VOR RWY 28	200213
US08501	1	IFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  Amdt 2,  03107  Rwy 18, 1400-3*  *Or standard with minimum climb of 320/NM to 3200.  Rwy 18, climb via heading 181  to 2600 before turning.	200403
US08510	1	IFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKE-OFF MINIMUMS  Rwys 7L/7R/8: Standard with a minimum climb of 300' per NM to 7000.  Rwys 25L/25R/ 26: Standard with a minimum climb of 350' per NM to 7000.     DEPARTURE PROCED	200601
US08510	2	URE:  Rwy 07L/07R/08: Climb via 078 heading to 3000, then climbing right turn direct Phoenix PXR VORTAC.  Rwy 26: Climb via 258 heading to 1550 then climbing left turn to join the PXR R-260 westbound, climb to 5000.  Rwy 25L/25R: Climb via	200601
US08510	3	258 heading to 1550 then climbing right turn to join the PXR R-260 westbound, climb to 5000.   Westbound departures continue climb on PXR R-260. All others, climbing right turn direct PXR VORTAC.    IFR ALTERNATE MINIMUMS:  ILS Rwy 07R(1)	200601
US08510	4	ILS Rwy 07L(1)  ILS Rwy 08(2)  ILS Rwy 25L(1)  ILS Rwy 26(1)  LOC BC Rwy 25R(1) VOR/DME Rwy 25R(1)  VOR/DME-A(1)  RNAV (GPS) Rwy 25R(1)  RNAV (GPS) Rwy 26(1) (1) Category D, 800-2 1/2.  (2) ILS, Categories A,B, 800-2; Category C, 800-2 1/	200601
US08510	5	4; Category D, 800-2 1/2. LOC, Category C, 800-2 1/4; Category D, 800-2 1/2. ALTERNATE MINIMUMS NA:  RNAV (GPS) Rwy 7L  RNAV (GPS) Rwy 7R  RNAV (GPS) Rwy 8 RNAV (GPS) Rwy 25L    TAKEOFF OBSTACLE NOTES:    BUCKEYE TWO DEPARTURE:  Rwy 26,	200601
US08510	6	light 59' from DER, 63' right of centerline, 16' AGL/1125' MSL. Pole 58' from DER, 90' right of centerline, 25' AGL/1125' MSL. Light 78' from DER, 64' right ofcenterline, 18' AGL/1127' MSL. Light 38' from DER, 440' left of centerline, 24'	200601
US08510	7	AGL/1135' MSL. BLDG 2.32 NM from DER, 3309' feet right of centerline, 408' AGL/1496' MSL. BLDG 2.28 NM from DER, 3612' right of centerline, 663' AGL/1750' MSL.Tree 234' from DER, 214' right of centerline, 24' AGL/1133' MSL. Light standard	200601
US08510	8	77' from DER, 453' left of centerline, 27' AGL/1136' MSL. Light standard 74' from DER, 456' right of centerline, 33' AGL/1142' MSL. Light standard 77' from DER, 434' right of centerline, 31' AGL/1140' MSL. Light standard 64' from DER, 68'	200601
US08510	9	left of centerline, 1125' MSL. Tree 113' from DER, 294 feet right of centerline,24' AGL/1133' MSL. Note: Rwy 25L, light standard 1129' from DER, 774' left of centerline, 91' AGL/1200' MSL. Note: Rwy 7L, Bldg 1332' from DER, 798' left of ce	200601
US08510	10	nterline, 67' AGL/ 1176' MSL. Note: Rwy 7R, Rod 716' from DER, 184' right of centerline , 87' AGL/1196' MSL. Note: Rwy 8, Light Standard 3530' from DER, 1207' left of centerline, 123' AGL/1232' MSL, light standard 3479' from DER, 1003' left	200601
US08510	11	of centerline, 118' AGL/1227' MSL.    MOBIE TWO DEPARTURE:  Rwy 26, light 59' from DER, 63' right of centerline, 16' AGL/1125' MSL. Pole 58' from DER, 90' right of centerline, 25' AGL/1125' MSL. Light 78' from DER, 64' right of centerline,	200601
US08510	12	18' AGL/1127' MSL. Light 38' from DER, 440' left of centerline, 24' AGL/1133' MSL. Light standard 77' from DER, 453' left of centerline, 27' AGL/1136' MSL. Light standard 74' from DER, 456' right of centerline, 33' AGL/1142' MSL. Light sta	200601
US08510	13	ndard 77' from DER, 434' right of centerline, 31' AGL/1140' MSL. Light standard 64' from DER, 68' left of centerline, 1125' MSL. Tree 113' from DER, 294 feet left of centerline, 24' AGL/1133' MSL. BLDG 2.32 NM from DER, 3309 feet right of c	200601
US08510	14	enterline, 406' AGL/1496 MSL. BLDG 2.28 NM from DER, 3612' right of centerline, 663' AGL/1750 MSL. Tree 234' from DER, 214' right of centerline, 24' AGL/1133' MSL. Note: Rwy 25L, light standard 1129' from DER, 774' left of centerline, 120'	200601
US08510	15	AGL/1200' MSL. Note: Rwy 7L, Bldg 1332' from DER, 798' left of centerline, 67' AGL/ 1176' MSL. Note: Rwy 7R, Rod 716' from DER, 184' right of centerline , 87' AGL/1196' MSL. Note: Rwy 8, Light Standard 3530' from DER, 1207' left of centerli	200601
US08510	16	ne, 123' AGL/1232' MSL, light standard 3479' from DER, 1003' left of centerline,118' AGL/1227' MSL.    STANFIELD TWO DEPARTURE:  Rwy 26, light 59' from DER, 63' right of centerline, 16' AGL/1125' MSL. Pole 58' from DER, 90' right of center	200601
US08510	17	line, 25' AGL/1125' MSL. Light 78' from DER, 64' right of centerline, 18' AGL/1127' MSL. Light 38' from DER, 440' right of centerline, 24' AGL/1133' MSL. Light standard 77' from DER, 453' left of centerline, 27' AGL/1136' MSL. Light standar	200601
US08510	18	d 74' from DER, 453' right of centerline, 33' AGL/1142' MSL. Light standard 77' from DER, 434' right of centerline, 31' AGL/1140' MSL. Light standard 64' from DER, 68' left of centerline, 1125' MSL. Tree 113' from DER, 294 feet left of cent	200601
US08510	19	erline, 24' AGL/1133' MSL. Light 59' from DER, 63' right of centerline, 16' AGL/1125' MSL. light 38' from DER, 440' right of centerline, 26' AGL/1135' MSL. Note: Rwy 25L, light standard 1129' from DER, 774' left of centerline, 120' AGL/1200	200601
US08510	20	' MSL. Note: Rwy 7L, Bldg 1332' from DER, 798' left of centerline, 67' AGL/ 1176' MSL. Note: Rwy 7R, Rod 716' from DER, 184' right of centerline , 87' AGL/1196'MSL. Note: Rwy 8, Light Standard 3530' from DER, 1207' left of centerline, 123'	200601
US08510	21	AGL/1232' MSL, light standard 3479' from DER, 1003' left of centerline, 118' AGL/1227' MSL.	200601
US08572	1	ALTERNATE MINIMUMS NA:  GPS RWY 15  GPS RWY 33	200212
US08619	1	TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKE-OFF MINIMUMS  Rwy 03, 21, 300-1	200513
US08666	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS: Rwy 26: Climb rwy heading to 600 before turning left.    TAKE-OFF OBSTACLES:   Rwy 26: 116' MSL (100' AGL) tree 2150' from departure end of rwy, 1050' left of c	200601
US08666	2	entrline. Rwy 31: 81' MSL (70' AGL) tree 700' from departure end of rwy, 530' right of centerline.    IFR ALTERNATE MINIMUMS  ILS Rwy 08    ILS, Category D, 700-2.	200601
US08712	1	TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    IFR ALTERNATE MINIMUMS:ALTERNATE MINIMUMS NA:  NDB RWY 13  GPS RWY 13	200413
US08736	1	IFR ALTERNATE MINIMUMS:  ILS or LOC Rwy 13 (1)  NDB Rwy 13 (2)  VOR/DME or TACANRwy 13 (1)  VOR/DME or TACAN Rwy 31 (1)    (1) CAT E 800-2 1/2  (2) NA when control tower closed.	200603
US08742	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    ALTERNATE MINIMUMS:NDB or GPS Rwy 35    NA when control zone not if effect.  Category D, 800-2 1/4.    ALTERNATE MINIMUMS NA:  RNAV (GPS) RWY 05	200601
US08855	1	IFR TAKE-OFF AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  Rwy 08, 700-1  Rwy 26, 1100-1  Rwy 08, 26 climb rwy hdg to 1800 before proceeding on course.    ALTERNATE MINIMUMS NA:  VOR-A  VOR or GPS RWY 08  RNAV (GPS)-B	200403
US08906	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES:    TAKEOFF MINIMUMS: Rwys 07, 11, 25, 29, climb rwy hdg to 2100 before proceeding on course.    ALTERNATE MINIMUMS NA:  VOR/DME or GPS-A	200403
US08921	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES:    TAKEOFF MINIMUMS: Rwy 07, 400-1  Rwy 25, 300-1  Rwy 07, 25, climbing right turn direct PTW VORTACbefore departing on course.    ALTERNATE MINIMUMS NA:  VOR or GPS-B	200403
US08951	1	TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  Rwy 6: Standard  Rwy 24: 300-1 or standard with minimum climb of 400 FT per NM to 600.    DEPARTURE PROCEDURE:  Rwy 24: Climb via heading 245 to 1100 before proceed	200412
US08951	2	ing on course.    TAKEOFF OBSTACLE NOTES:  Rwy 6: Trees beginning 154 feet from DER, 357 feet left of centerline, 90 feet AGL/350 feet MSL. Trees 1038 feet fromDER, 776 feet left of centerline, 100 feet AGL/389 feet MSL. Rwy 24: Multiple b	200412
US08951	3	uildings 347 feet from DER, 530 feet left of centerline, 50 feet AGL/360 feet MSL. Building 235 feet from DER, 534 feet right of centerline, 60 feet AGL/350 feet MSL. Tower 4367 feet from DER, 843 feet right of centerline, 160 feet AGL/444	200412
US08951	4	feet MSL.	200412
US08999	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES:    TAKEOFF MINIMUMS: Rwy 07, climb rwy hdg to 1300' before turning on course.    ALTERNATE MINIMUMS NA:  VOR or GPS-A	200402
US09012	1	IFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  Rwy 11, 29, 600-1  Rwy 14, 500-1; or standard with minimum climb of 330/NM to 1600.  Rwy 32, 500-1; or standard with minimum climb of 380/NM to 1600.  All rwy, c	200403
US09012	2	limb rwy hdg to 1600 before turning.	200403
US09103	1	IFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  Rwy 06, climbing right turn to 5000 heading 120  before proceeding on course.  Rwy 24, climb rwy heading to 5000 before proceeding on course.    IFR ALTERNATE MI	200601
US09103	2	NIMUMS:  VOR or GPS-A    Category D, 800-2 1/4.    ALTERNATE MINIMUMS NA:  ILS RWY 06  RNAV (GPS) RW24	200601
US09120	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES:    TAKEOFF MINIMUMS: Rwy 04, 300-1; or standard with minimum climb of 300/NM to 1400.  Rwy 04, climbrwy hdg to 1400 before proceeding on course.	200402
US09256	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES:    TAKEOFF MINIMUMS: Rwy 13, 800-1; or standard with minimum climb of 270/NM to 1600.    Rwy 13, climb runway heading to 1600 before proceeding on course.    Rwy 24, climb runway h	200601
US09256	2	eading to 1600 before proceeding southbound on course.    IFR ALTERNATE MINIMUMSILS or LOC Rwy 13;    ILS Cat A,B,C, 700-2; Cat D, 700-2 1/4. LOC, Cat D, 800-2 1/4.	200601
US09275	1	ALTERNATE MINIMUMS NA:  NDB RWY 19  VOR or GPS RWY 19	200213
US09299	1	IFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  Rwys 16, 34: STANDARD    DEPARTURE PROCEDURES:  Rwy 16, climb via 162  heading to2500 before turning left.    Rwy 34, climb via 342  heading to 1400 before turn	200603
US09299	2	ing southeastbound.    IFR ALTERNATE MINIMUMS:  RNAV (GPS) Rwy 34  VOR/DME Rwy 34  NA when local weather not available.	200603
US09438	1	IFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  Rwy 25, 300-1*.  * Or standard with minimum climb of 345/NM to 1500.    IFR ALTERNATE MINIMUMS:  ILS Rwy 31  LOC, NA.    RNAV (GPS) RWY 31; NA	200413
US09557	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES:  All aircraft, climb direct to GEG VORTAC. Continue climb via R-208 within 10 miles to cross GEG VORTAC at or above: NE bnd V-120-448, 5200; E bnd V2, 5200; SE thru SW bnd, climb on	200303
US09557	2	course.    ALTERNATE MINIMUMS:  VOR Rwy 03: Category E, 800-2 1/2.    ALTERNATEMINIMUMS NA:  RNAV (GPS) Rwy 03  RNAV (GPS) Rwy 21  RNAV (GPS) Rwy 25	200303
US09777	1	ALTERNATE MINIMUMS:  NDB RWY 04R  CAT C, 800-2 1/4; CAT D, 800-2 1/2.	200301
US09876	1	TAKE-OFF MINIMUMS AND TEXTUAL DEPARTURE PROCEDURES (DP):    TAKEOFF OBSTACLE NOTES:  NOTE: Rwy 12, Poles 130 ft from DER, 261 ft right of centerline, 14 ft AGL/38 ft MSL. Stack 1.5 NM from DER, 1.6 NM right of centerline, 479 ft AGL/ 499 f	200511
US09876	2	t MSL.	200511
US10189	1	IFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  Rwys 08, 26 climb rwy hdg to 1100 before turning.	200403
US10525	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES:    TAKEOFF MINIMUMS: Rwys 10, 28, 300-1  Rwy 10 and 28 climb rwy hdg to 2200 before turning on course.    ALTERNATE MINIMUMS NA:  LOC RWY 28  VOR RWY 10  VOR RWY 28	200403
US10603	1	IFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  Rwy 13, 31: NA  Rwy 9, 18, 27, 36: Standard.    TAKEOFF OBSTACLE NOTES:  Rwy 9: Multiple light poles 1124 feet from DER, 305 feet left of centerline, 20 feet AGL	200601
US10603	2	/927 feet MSL.    ALTERNATE MINIMUMS:  ILS or LOC Rwy 18 (1)  ILS or LOC Rwy 36 (1)  VOR/DME or TACAN Rwy 18 (2)  VOR or TACAN Rwy 36 (3)  RNAV (GPS) Rwy 18 (2)RNAV (GPS) Rwy 36 (2)    (1) Category E, 700-2 1/4. LOC category E; 800-2 1/4.	200601
US10603	3	(2) Category E, 800-2 1/4.  (3) Category D, 800-2 1/4. Category E, 800-2 1/2.	200601
US10609	1	IFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  Rwy 06, 300-1	200403
US10680	1	IFR TAKEOFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES    TAKEOFF MINIMUMS:  Rwy 36, climb to 1200 on rwy hdg before turning west.    IFR ALTERNATE MINIMUMS: VOR or GPS Rwy 09    NA except standard for operators with approved weather rep	200601
US10680	2	orting service.	200601
US10686	1	ALTERNATE MINIMUMS NA:  COPTER NDB 173	200301
